Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1444366332246511619,SefaMehdi,2021-10-02 18:19:03+00:00,"Bir xanım yazır ki, Səfa bəy sizin dünənki videonu anama göstərdim, dedi ki: 
- sən o gicə baş qoşma, evlənmək lazı… https://t.co/AJsHs7yPSX",https://t.co/AJsHs7yPSX,[],[]
1443660862921785354,SefaMehdi,2021-09-30 19:35:46+00:00,"""Gecələr daha bəyaz olmayacaq""

Yerin cənnət olsun Səyyad Əlizadə.

#rip",No url,"[{'text': 'rip', 'indices': [68, 72]}]",[]
1443260530676879360,SefaMehdi,2021-09-29 17:04:59+00:00,"Yeni qaydalara görə, kinoteatrlara yalnız ailəvi gələn şəxslər yanaşı otura bilər. 

Heçnə olmaz, biz də avtobusda… https://t.co/rgI1aJclB4",https://t.co/rgI1aJclB4,[],[]
1442200483695845377,SefaMehdi,2021-09-26 18:52:44+00:00,"Əfəndilər yarın Müzəffər Ordu ilə, 44 günə haqqımız olanı geri qaytaracağıq! 

Yaşasın Azərbaycan əsgəri, asın bayr… https://t.co/2AIDovttdr",https://t.co/2AIDovttdr,[],[]
1441483343279820801,SefaMehdi,2021-09-24 19:23:05+00:00,"Teatr və kinoteatrlar açılmağı elə böyük sevinc gətirmədi əslində. Ətrafımızda nə oyunlar, nə çox rola girən adamla… https://t.co/ez8j3pEU7n",https://t.co/ez8j3pEU7n,[],[]
1441407557470412801,SefaMehdi,2021-09-24 14:21:56+00:00,"Oktyabrın 1-dən teatr və kinoteatrların fəaliyyəti bərpa edilir. 

O gün olsun, anan gəlib bizdə teatr çıxarsın, at… https://t.co/NKUlBh3VBQ",https://t.co/NKUlBh3VBQ,[],[]
1440745615701393412,SefaMehdi,2021-09-22 18:31:37+00:00,"Vaxtında evlənsəydik, sabah uşağı, kim durub məktəbə aparacaq deyə mübahisə edirdik #qəşəngqız",No url,"[{'text': 'qəşəngqız', 'indices': [84, 94]}]",[]
1440733850926157827,SefaMehdi,2021-09-22 17:44:52+00:00,"İlk tədris günü ata xeyir-duası almayan şəhid balaları, bütün Azərbaycanın duası sizinlədir. Yeni tədris iliniz mübarək olsun. 

#sefamehdi",No url,"[{'text': 'sefamehdi', 'indices': [129, 139]}]",[]
1439296961895669766,SefaMehdi,2021-09-18 18:35:11+00:00,Bağışlama bizi Üzeyir bəy.. https://t.co/0NVcwo8r8Y,No url,[],[]
1439294303382212617,SefaMehdi,2021-09-18 18:24:37+00:00,"""Milli Musiqi Günümüz"" mübarək? https://t.co/pMcT5QKrk0",No url,[],[]
1438180406189297666,SefaMehdi,2021-09-15 16:38:23+00:00,"Videoların birindi deyirəm ki, Həzrət Əli deyirdi ki, bir kişiyə qızıl haramdı, bir kişinin qızılı onun yoldaşıdır.… https://t.co/4lGfMBXPc9",https://t.co/4lGfMBXPc9,[],[]
1435635416229720064,SefaMehdi,2021-09-08 16:05:30+00:00,"Üzülən sən olandan sonra, haqlı olmağın heç bir mənası qalmır. 

Haqlı deyil xoşbəxt olmağa çalışın. 

Bəlkə də elə… https://t.co/QbuKvRLadk",https://t.co/QbuKvRLadk,[],[]
1434950410771607554,SefaMehdi,2021-09-06 18:43:32+00:00,"Səkinənin qızı 400 balla instagramın kəşfetinə düşüb. 

#məndəliyəm",No url,"[{'text': 'məndəliyəm', 'indices': [56, 67]}]",[]
1429861683795800072,SefaMehdi,2021-08-23 17:42:45+00:00,"Vaksin kimisən #sevgili sənsiz yaşamaq mümkündür kimi görsənir, amma mümkünsüz.

#məndəliyəm",No url,"[{'text': 'sevgili', 'indices': [15, 23]}, {'text': 'məndəliyəm', 'indices': [81, 92]}]",[]
1429784423608819723,SefaMehdi,2021-08-23 12:35:45+00:00,"Qismət olmasa biz də bir dəfə istəyərdik, amma təbii ki, əsas 7-ci dəfədir Seda xanım. #məndəliyəm https://t.co/A8NaDLJVLb",No url,"[{'text': 'məndəliyəm', 'indices': [87, 98]}]",[]
1429135457326096398,SefaMehdi,2021-08-21 17:36:59+00:00,"Mən hamamda olanda, niyə gedib başqa bloggerləri like edirdin???

- bir məni like elə görüm, bir məni like elə görü… https://t.co/L0PYSiBPy9",https://t.co/L0PYSiBPy9,[],[]
1428636607033249794,SefaMehdi,2021-08-20 08:34:44+00:00,"Sentyabrın 1-dən qız evinə elçilik üçün gələn, oğlan evi Covid pasportu göstərməlidir. 

#məndəliyəm",No url,"[{'text': 'məndəliyəm', 'indices': [89, 100]}]",[]
1425015995744366592,SefaMehdi,2021-08-10 08:47:43+00:00,"Bu qədər adamlar evlənirsə, bəlkə doğrudan-doğruya pis bir şey deyil evlilik?

Yoxsa elə deyil? #məndəliyəm",No url,"[{'text': 'məndəliyəm', 'indices': [96, 107]}]",[]
1424812605907030016,SefaMehdi,2021-08-09 19:19:31+00:00,"Bizim münasibət Messi ilə Barselona kimi idi, illərlə birlikdə yürü, əziyyət çək, sonunda hansısa xala uşağı Psj -ə… https://t.co/UJyh3NDyOi",https://t.co/UJyh3NDyOi,[],[]
1424807650869534722,SefaMehdi,2021-08-09 18:59:50+00:00,"Ürəyindən deyil, ayaqlarından yaralı bizim sevgimiz, bir yerdən sonra qırılıb qaldı, qaldığı yerdə..

#məndəliyəm #sefamehdi",No url,"[{'text': 'məndəliyəm', 'indices': [102, 113]}, {'text': 'sefamehdi', 'indices': [114, 124]}]",[]
