Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1461937350410391559,Bakcell,2021-11-20 06:00:00+00:00,"20 noyabr 2020-ci ildə #Ağdam şəhəri bizə geri qayıtdı. Bir güllə belə atılmadan!
Ağdamı ruhlar şəhərindən möcüzələr şəhərinə çevirəcəyik! 
İndi dirçəlmək zamanıdır! #QarabağAzərbaycandır #Zəfəryolu #Bakcell https://t.co/AnJIzaf9U2",No url,"[{'text': 'Ağdam', 'indices': [23, 29]}, {'text': 'QarabağAzərbaycandır', 'indices': [166, 187]}, {'text': 'Zəfəryolu', 'indices': [188, 198]}, {'text': 'Bakcell', 'indices': [199, 207]}]",[]
1460859460407238658,Bakcell,2021-11-17 06:36:51+00:00,"Bu xalq öz azadlığını öz əlləri ilə inşa edib!
Biz bir olduqca qarşımızda duracaq güc yoxdur!
Milli Dirçəliş Günümüz mübarək!
#MilliDirçəlişGünü #17noyabr1988 https://t.co/0nF0zj8FJi",No url,"[{'text': 'MilliDirçəlişGünü', 'indices': [126, 144]}, {'text': '17noyabr1988', 'indices': [145, 158]}]",[]
1460155810751860738,Bakcell,2021-11-15 08:00:48+00:00,"#Bakcell #Ookla® tərəfindən yenidən ""Azərbaycanın ən sürətli mobil şəbəkəsi"" adına layiq görülüb. Biz hər birinizə təşəkkür edirik. Sizdən ilhamlandıq və ən sürətli şəbəkəni qurduq.
#Sizdənİlhamlandıq #FastestMobileNetwork #ƏnSürətliMobilŞəbəkəsi #Ookla #Speedtest #MənimÜçünSürət https://t.co/otcDnKkugk",No url,"[{'text': 'Bakcell', 'indices': [0, 8]}, {'text': 'Ookla', 'indices': [9, 15]}, {'text': 'Sizdənİlhamlandıq', 'indices': [182, 200]}, {'text': 'FastestMobileNetwork', 'indices': [201, 222]}, {'text': 'ƏnSürətliMobilŞəbəkəsi', 'indices': [223, 246]}, {'text': 'Ookla', 'indices': [247, 253]}, {'text': 'Speedtest', 'indices': [254, 264]}, {'text': 'MənimÜçünSürət', 'indices': [265, 280]}]",[]
1459403963393056769,Bakcell,2021-11-13 06:13:13+00:00,"“Sürət”i müxtəlif formalarda ifadə etmək olar.

Sürət - əyləncədir, Sürət – həyacandır, Sürət – cəsarətdir…

Bəs sənin üçün sürət nədir?

#tezliklə #MənimÜçünSürət #Sizdənİlhamlandıq #Bakcell https://t.co/eoKdMkHHVR",No url,"[{'text': 'tezliklə', 'indices': [138, 147]}, {'text': 'MənimÜçünSürət', 'indices': [148, 163]}, {'text': 'Sizdənİlhamlandıq', 'indices': [164, 182]}, {'text': 'Bakcell', 'indices': [183, 191]}]",[]
1459038250044203009,Bakcell,2021-11-12 06:00:01+00:00,"Konstitusiya insan hüquq və azadlıqlarını qoruyan ən müqəddəs mənbədir!
Konstitusiya Gününüz mübarək!
#12noyabr #KonstitusiyaGünü https://t.co/0S7wn7TBQ7",No url,"[{'text': '12noyabr', 'indices': [102, 111]}, {'text': 'KonstitusiyaGünü', 'indices': [112, 129]}]",[]
1457950831265845248,Bakcell,2021-11-09 05:59:00+00:00,"Azərbaycan bayrağı layiq olduğu zirvələrdə dalğalanır. Bu bizim birliyimizin nəticəsidir!
Birliyimiz daim olsun! 
Dövlət Bayrağı Günümüz mübarək!
#9noyabr #bayraqgünü https://t.co/aXJ9lloU55",No url,"[{'text': '9noyabr', 'indices': [146, 154]}, {'text': 'bayraqgünü', 'indices': [155, 166]}]",[]
1457586178354384899,Bakcell,2021-11-08 05:50:00+00:00,"Bu tarix gələcək nəsillərə mirasımızdır! 30 illik həsrəti bitirən gün - 8 Noyabr - Zəfər Günü!
8 noyabrda müzəffər ordumuz Şuşanı azad edərək, zəfəri gətirən ən böyük addımı atdı!
Şuşanın azad olduğunu eşidən düşmən təslim oldu!
Qoy bu zəfər hər kəsi birləşdirsin! 
#ZəfərGünü https://t.co/k7oCqLXnmg",No url,"[{'text': 'ZəfərGünü', 'indices': [266, 276]}]",[]
1455831752140894209,Bakcell,2021-11-03 09:38:32+00:00,"Qarabağ torpağı sinəsində minillərin tarixini, mədəniyyətini, irsini daşıyır. Qarabağdakı tarixi adibələrimiz yenidən olmalı olduğu vəziyyətə qayıdacaq və buradakı qədim insan beşiyi nümunələri layiqincə nümayiş etdiriləcəkdir!
#QarabağAzərbaycandır #buravətəndir #Zəfəryolu https://t.co/Lj0rrAlpay",No url,"[{'text': 'QarabağAzərbaycandır', 'indices': [228, 249]}, {'text': 'buravətəndir', 'indices': [250, 263]}, {'text': 'Zəfəryolu', 'indices': [264, 274]}]",[]
1455464251246710786,Bakcell,2021-11-02 09:18:13+00:00,"@ilkinedilzade Salam.
Fikirlərinizi bizimlə bölüşdüyünüz üçün təşəkkür edirik.
Sizin müraciətiniz müvafiq şöbəyə yönləndirildi. Belə bir dəyişiklik olarsa, rəsmi səhifəmizdə məlumat təqdim olunacaq.",No url,[],[]
1453239788782428163,Bakcell,2021-10-27 05:59:00+00:00,"Bərdə şəhəri münaqişə zonasına ən yaxın yerlərdən biri idi. Keçən il, 27-28 oktyabrda Azərbaycan əsgərinin kölgəsini öz üzərində hiss edən ermənilər, Bərdə şəhərini, dinc əhalini bombaladı.
Nəticədə 27 nəfər şəhid oldu, 70 nəfər isə yaralandı.
Şəhidləri hörmətlə anırıq!
#Bərdə https://t.co/9nLEqrMEDd",No url,"[{'text': 'Bərdə', 'indices': [271, 277]}]",[]
1453124033625694212,Bakcell,2021-10-26 22:19:02+00:00,@bakcell #QarabağAzərbaycandır,No url,"[{'text': 'QarabağAzərbaycandır', 'indices': [9, 30]}]",[]
1452515013088907269,Bakcell,2021-10-25 05:59:00+00:00,"Meşələri, dağları, təbiəti ilə hər kəsi heyran qoyan Qubadlı!
Həkərini, Bərgüşadı sinəsində gəzdirən Qubadlı!
Sənə qovuşduq! İndi meşələrində gəzmək, çaylarında sərinləmək zamanıdır!  İndi dirçəlmək zamanıdır!
#Qubadlı #QarabağAzərbaycandır #Zəfəryolu https://t.co/1duo9gd12W",No url,"[{'text': 'Qubadlı', 'indices': [210, 218]}, {'text': 'QarabağAzərbaycandır', 'indices': [219, 240]}, {'text': 'Zəfəryolu', 'indices': [241, 251]}]",[]
1451288622649511951,Bakcell,2021-10-21 20:45:45+00:00,"@kenanqedirli12 Seçdiyiniz tarifdən aslı olaraq, balansdan müəyyən məbləğ çıxılacaq, Tariflər haqda məlumat əldə etmək üçün, qeyd etdiyimiz linkə daxil olun: https://t.co/YE6Rv82X1k",https://t.co/YE6Rv82X1k,[],[]
1451288603590635521,Bakcell,2021-10-21 20:45:41+00:00,"@kenanqedirli12 Mövcud tarifi ləğv etmək üçün digər tarifə keçid etməlisiniz. Tarifi dəyişəndə mövcud tarif , bonusları ilə birlikdə avtomatik olaraq ləğv olunur.",No url,[],[]
1451288485688750082,Bakcell,2021-10-21 20:45:13+00:00,@kenanqedirli12 Salam.,No url,[],[]
1450361072427360259,Bakcell,2021-10-19 07:20:00+00:00,"Bakcell Bakının mərkəzində yenilənmiş konsept mağazasını təqdim edib.
“Sahil” metro stansiyasının yaxınlığında yeni konsept mağazası istifadəyə verilib. 
Ətraflı: https://t.co/pFIGkH37FN https://t.co/VkC69i6Mlg",https://t.co/pFIGkH37FN,[],[]
1450039440202739714,Bakcell,2021-10-18 10:01:57+00:00,"Şanlı Azərbaycan Ordusu 18 oktyabrda Xudafərin körpüsünə bayrağımızı sancdı və 30 illik həsrətin bitdiyini elan etdi! 
#Xudafərin #QarabağAzərbaycandır #Zəfəryolu https://t.co/fFxrjoh4ka",No url,"[{'text': 'Xudafərin', 'indices': [119, 129]}, {'text': 'QarabağAzərbaycandır', 'indices': [130, 151]}, {'text': 'Zəfəryolu', 'indices': [152, 162]}]",[]
1449990879888887811,Bakcell,2021-10-18 06:48:59+00:00,"18 Oktyabr - Dövlət müstəqilliyinin bərpası günüdür. 
30 ildir ki, inkişafımız, çiçəklənməmiz, böyüməyimiz davam edir!
Daim yüksəl, Azərbaycan!
#DövlətMüstəqilliyininBərpasıGünü #Azərbaycan #Azerbaijan #NationalIndependenceDay https://t.co/nLIJ2T59gw",No url,"[{'text': 'DövlətMüstəqilliyininBərpasıGünü', 'indices': [144, 177]}, {'text': 'Azərbaycan', 'indices': [178, 189]}, {'text': 'Azerbaijan', 'indices': [190, 201]}, {'text': 'NationalIndependenceDay', 'indices': [202, 226]}]",[]
1449691659269255174,Bakcell,2021-10-17 11:00:00+00:00,"Bu gün müzəffər ordumuz Füzulini aid olduğu yerə, Azərbaycana qaytardı.
Tarixin beşiyi, onlarla tarixi abidəni sinəsində daşıyan Füzuli geri döndü!
İndi dirçəlmək zamanıdır!
#Füzuli #QarabağAzərbaycandır #Zəfəryolu https://t.co/AWFMbvJRRI",No url,"[{'text': 'Füzuli', 'indices': [174, 181]}, {'text': 'QarabağAzərbaycandır', 'indices': [182, 203]}, {'text': 'Zəfəryolu', 'indices': [204, 214]}]",[]
