Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1540953008015540224,Bakcell,2022-06-26 07:00:01+00:00,"Hər zaman qürur duyduğumuz hərbçilərin 26 İyun - Silahlı Qüvvələr Gününü təbrik edirik!
#26iyunsilahlıqüvvələrgünü https://t.co/VVYvDjuUiK",No url,"[{'text': '26iyunsilahlıqüvvələrgünü', 'indices': [88, 114]}]",[]
1540439543580479489,Bakcell,2022-06-24 20:59:41+00:00,"@bytoghrul Əgər tarifdə abunə haqqı vaxtında ödənilərsə, yəni, abunə haqqı günü balansda kifayət qədər vəsait olarsa, cari ayda istifadə edilməmiş bonuslar növbəti ayın paketinə əlavə edilir (yalnız sonuncu ayın bonusları gələn ayın bonuslarına əlavə edilə bilər).",No url,[],[]
1540439438643167234,Bakcell,2022-06-24 20:59:16+00:00,"@bytoghrul Klass 10 tarifinə keçid edə bilərsiniz. 
Klass 10 tarifinə keçid etmək üçün *210#YES şifrəsini daxil edə bilərsiniz. Aylıq abunə haqqı 10 azn ödəməklə ölkədaxili zənglər üçün 350 dəqiqə və 2 GB+ Pulsuz Whatsapp (yalnız sms üçün) bonus əldə edəcəksiniz.",No url,[],[]
1540437962969608192,Bakcell,2022-06-24 20:53:24+00:00,"@bytoghrul Zəhmət olmasa, Şəxsi mesaj bölümündə bizə müraciət edin, tariflər haqqında məlumatı sizə göndərək.",No url,[],[]
1540437341147258880,Bakcell,2022-06-24 20:50:56+00:00,@bytoghrul Klass 5 tarifinə keçid etmək üçün *205#YES şifrəsini daxil edə bilərsiniz. Aylıq abunə haqqı 5 azn ödəməklə ölkədaxili zənglər üçün 100 dəqiqə və 500 MB+ Pulsuz Whatsapp (yalnız sms üçün) bonus əldə edəcəksiniz.,No url,[],[]
1540437051027226625,Bakcell,2022-06-24 20:49:47+00:00,@bytoghrul Direct-ə sizə bütün Klass tarifləri haqqında məlumatı göndərəcəyik.,No url,[],[]
1540436072236060677,Bakcell,2022-06-24 20:45:54+00:00,"@bytoghrul Buyurun 🙂 
Rəsmi saytımızda (https://t.co/a9dHPacTNy) ""Tariflər"" bölümünə daxil olub bütün Klass tarifləri haqqında ətraflı məlumat əldə edə bilərsiniz.",https://t.co/a9dHPacTNy,[],[]
1540435013065289728,Bakcell,2022-06-24 20:41:41+00:00,@bytoghrul 5 azn-dən 50 azn-ə qədər Klass tariflərimiz mövcuddur.,No url,[],[]
1540433017654484992,Bakcell,2022-06-24 20:33:45+00:00,"@bytoghrul Tariflər barədə ətraflı məlumat əldə etmək üçün https://t.co/cbfESvZs1B səhifəsinə daxil olaraq “Tariflər” bölümünə keçid ala bilərsiniz. 4G şəbəkəsində isə təqdim etdiyimiz ötürülmə sürəti 50 Mbit/san, yükləmə 225 Mbit/san qədər yüksələ bilər.",https://t.co/cbfESvZs1B,[],[]
1540432793494097920,Bakcell,2022-06-24 20:32:52+00:00,"@bytoghrul Salam. 
Siz Klass tariflərimizdən istifadə edərək aylıq abunə haqqının müqabilində ölkədaxili bütün istiqamətlərə danışıq dəqiqələri, internet paketi, Whatsapp-da limitsiz yazışmaq imkanı və digər bonuslar əldə edə bilərsiniz.",No url,[],[]
1539901439404695552,Bakcell,2022-06-23 09:21:27+00:00,"@menniydeyil Zəhmət olmasa, nömrənizi şəxsi mesaj bölümünə qeyd edin, yoxlayaq.",No url,[],[]
1539887831190863872,Bakcell,2022-06-23 08:27:23+00:00,"@nanotexnologiya Lütfən üzləşdiyiniz halı və nömrənizi Şəxsi mesajlardan bizə göndərin, araşdıraq.",No url,[],[]
1539882125557497856,Bakcell,2022-06-23 08:04:43+00:00,"@menniydeyil Salam.
Zəhmət olmasa nömrənizi mesaj bölümündə təqdim edin.",No url,[],[]
1539669351120351233,Bakcell,2022-06-22 17:59:13+00:00,@deandrejm Salam. Şikayətiniz nə ilə bağlıdır?,No url,[],[]
1539564454697996288,Bakcell,2022-06-22 11:02:24+00:00,"VoLTE ilə şad xəbəri ilk siz paylaşın!
#Bakcell #VoLTE https://t.co/nyfDhCT4cz",No url,"[{'text': 'Bakcell', 'indices': [39, 47]}, {'text': 'VoLTE', 'indices': [48, 54]}]",[]
1538778672869609472,Bakcell,2022-06-20 06:59:59+00:00,VoLTE ilə səsləri daha aydın və daha canlı eşidin! https://t.co/C5czGfoB8G,No url,[],[]
1538512755325513728,Bakcell,2022-06-19 13:23:19+00:00,@leobloger Your proposal will be forwarded to the appropriate section.,No url,[],[]
1538507636819124224,Bakcell,2022-06-19 13:02:59+00:00,"@leobloger Hi.
Could you please share your preference about internet packages with us?",No url,[],[]
1538169140946423808,Bakcell,2022-06-18 14:37:55+00:00,"@Turanstfu Salam. Zəhmət olmasa mobil nömrənizi mesaj bölümünə təqdim edin, müraciətinizi yoxlayaq və ehtiyac olarsa, müraciətinizi texniki şöbəmizə yönləndirək ki, çətinliyiniz aradan qaldırılsın.",No url,[],[]
1536966738423828480,Bakcell,2022-06-15 07:00:00+00:00,"15 iyun – Milli Qurtuluş Günü münasibətilə Azərbaycan xalqını səmimi qəlbdən təbrik edirik!
#Bakcell #MilliQurtuluşGünü https://t.co/CbkzgJ8Djh",No url,"[{'text': 'Bakcell', 'indices': [92, 100]}, {'text': 'MilliQurtuluşGünü', 'indices': [101, 119]}]",[]
1536247527766478848,Bakcell,2022-06-13 07:22:07+00:00,"#VoLTE haqqında tez-tez soruşulan suallar⤵️

#Bakcell  #Bakcell4G #AydınSəs #SürətliZəng #Kəsintisizİnternet #FAQ https://t.co/Nn8l9Ag8cH",No url,"[{'text': 'VoLTE', 'indices': [0, 6]}, {'text': 'Bakcell', 'indices': [45, 53]}, {'text': 'Bakcell4G', 'indices': [55, 65]}, {'text': 'AydınSəs', 'indices': [66, 75]}, {'text': 'SürətliZəng', 'indices': [76, 88]}, {'text': 'Kəsintisizİnternet', 'indices': [89, 108]}, {'text': 'FAQ', 'indices': [109, 113]}]",[]
1534792772460347393,Bakcell,2022-06-09 07:01:26+00:00,"Xiaomi smartfonlarında VoLTE-ni aktivləşdirmək üçün video bələdçi.
#Bakcell #Volte #Bakcell4G https://t.co/6pn4sQxvFL",No url,"[{'text': 'Bakcell', 'indices': [67, 75]}, {'text': 'Volte', 'indices': [76, 82]}, {'text': 'Bakcell4G', 'indices': [83, 93]}]",[]
1534552609733824513,Bakcell,2022-06-08 15:07:07+00:00,"@ivlizad232 Salam. Mövcud aylıq internet paketini ləğv etmək üçün *444*0#YES daxil edin.. Ətraflı məlumat üçün: https://t.co/bl7imcuNQO
Həmçinin paketlərə dair məlumatı ""Mənim Bakcellim"" tətbiqində əldə etmək mümkündür. Tətbiqi yükləmək üçün: https://t.co/Cu9oTFIDbW",https://t.co/bl7imcuNQO,[],[]
1533793181975855104,Bakcell,2022-06-06 12:49:25+00:00,"VoLTE şəbəkəsinin sizə qazandırdığı üstünlüklər!
- Zəng zamanı kəsintisiz internet
- Daha aydın səs
- Daha sürətli zəng bağlantısı
Əgər siz də zəng zamanı internetinizin kəsilmədən yüksək sürətlə davam etməsini istəyirsinizsə, VoLTE şəbəkəsindən istifadə edin!
#Bakcell #volte https://t.co/x5WxiU5xtd",No url,"[{'text': 'Bakcell', 'indices': [261, 269]}, {'text': 'volte', 'indices': [270, 276]}]",[]
1533689907951980544,Bakcell,2022-06-06 05:59:03+00:00,@KananHashimli Bizi diqqət mərkəzində saxladığınız üçün təşəkkür edirik.,No url,[],[]
1532677499242524677,Bakcell,2022-06-03 10:56:06+00:00,"@B_Eliaa Buyurun. Müraciətiniz üçün təşəkkür edirik. Gələcəkdə hər hansı sualınız yaranarsa, istənilən zaman bizə müraciət edə bilərsiniz.",No url,[],[]
1532656932623790080,Bakcell,2022-06-03 09:34:22+00:00,"@B_Eliaa Mobil nömrənizdən 555 və ya 0124988989 nömrəsinə zəng edib və müraciətinizə uyğun xidməti seçib, operatora bağlana bilərsiniz.Məsələn, 3 daha sonra 0 düymələrini daxil etməklə. Zəhmət olmasa, nəzərə alın ki, müraciətlərin sayından asılı olaraq xəttdə gözləmə müddəti dəyişə bilər.",No url,[],[]
1532652779352641537,Bakcell,2022-06-03 09:17:52+00:00,@B_Eliaa Salam. Zəng zamanı gözlədiyiniz müddətdə hansı məlumat təqdim edilir?,No url,[],[]
1532625633531990016,Bakcell,2022-06-03 07:30:00+00:00,"Samsung smartfonlarında VoLTE-ni aktivləşdirmək üçün video bələdçi.
#Bakcell #Volte #Bakcell4G #AydınSəs #SürətliZəng #Kəsintisizİnternet https://t.co/IcmGzudX9u",No url,"[{'text': 'Bakcell', 'indices': [68, 76]}, {'text': 'Volte', 'indices': [77, 83]}, {'text': 'Bakcell4G', 'indices': [84, 94]}, {'text': 'AydınSəs', 'indices': [95, 104]}, {'text': 'SürətliZəng', 'indices': [105, 117]}, {'text': 'Kəsintisizİnternet', 'indices': [118, 137]}]",[]
1532071179791372289,Bakcell,2022-06-01 18:46:48+00:00,"@aslanov888 Здравствуйте.
Если будет возможность приобрести eSİM номера онлайн способом мы разместим информацию на нашем официальном сайте. Благодарим вас.",No url,[],[]
1532018077734346755,Bakcell,2022-06-01 15:15:47+00:00,@shadow_alone В ближайшем будущем мы ещё больше усовершенствуем наши технологии. Благодарим за предложение.,No url,[],[]
1532010630776967169,Bakcell,2022-06-01 14:46:12+00:00,@shadow_alone На данный момент услуга eSIM предоставляется только в Центрах обслуживания или у дилеров Bakcell. Адреса наших офисов: https://t.co/HHUESH03O4,https://t.co/HHUESH03O4,[],[]
1532010206544089093,Bakcell,2022-06-01 14:44:31+00:00,@shadow_alone Чтобы получить eSİM дубликат номера владелец с удостоверением личности должен обратиться в центры обслуживания абонентов Bakcell. Стоимость услуги составляет 3.50 AZN. Для подробной информации можете перейти по указанной ссылке: https://t.co/Ft3t5bG0s9,https://t.co/Ft3t5bG0s9,[],[]
1532008968783949824,Bakcell,2022-06-01 14:39:36+00:00,"@shadow_alone Здравствуйте.
Вы хотите приобрести новый eSİM номер или же получить eSİM дубликат?",No url,[],[]
1531983499304898560,Bakcell,2022-06-01 12:58:23+00:00,@BalochKhan3 Hello. Do you want to work in our company?,No url,[],[]
1531982614596243456,Bakcell,2022-06-01 12:54:52+00:00,"@khudiyevalamia Salam. Bizi diqqət mərkəzində saxladığınız üçün, təşəkkür edirik.😊",No url,[],[]
1531974315201089536,Bakcell,2022-06-01 12:21:54+00:00,@kokoisbop Salam. 28 May m/s-nın yaxınlığında(Neft akademiyasıyla üzbəüz) Bakcell diler filiallarımız mövcuddur. Xidmət mərkəzlərimiz barədə məlumatı buradan əldə edə bilərsiniz: https://t.co/HHUESH03O4,https://t.co/HHUESH03O4,[],[]
1531950802046099457,Bakcell,2022-06-01 10:48:28+00:00,@Munstertoll eSIM yeni nəsil SIM texnologiyası olmaqla smartfonda quraşdırılmış rəqəmsal mikroçipdir. Ətraflı: https://t.co/HopK9FUwQD,https://t.co/HopK9FUwQD,[],[]
1531945789819301888,Bakcell,2022-06-01 10:28:33+00:00,"@khidilov Salam. Bizi diqqət mərkəzində saxladığınız üçün, təşəkkür edirik.😊",No url,[],[]
1531940225248686080,Bakcell,2022-06-01 10:06:26+00:00,@ayazqv Salam. Xoş sözləriniz üçün təşəkkür edirik. 😊 Təklifiniz müvafiq bölməyə yönləndiriləcək. Gələcəkdə xidmətlərin istifadə qaydalarında dəyişiklik edildikdə təklifiniz nəzərə alınacaq və mümkün olduqda müvafiq düzəliş ediləcək.,No url,[],[]
1531936587897917440,Bakcell,2022-06-01 09:51:59+00:00,"@iseduzeltme Təşəkkür edirik😊 Mövcud nömrənizi eSİM etmək üçün şəxsiyyət vəsiqənizlə birgə seçilmiş Bakcell Müştəri Xidmətləri yaxud rəsmi diler mərkəzlərinə yaxınlaşın. Dublikatlar üçün xidmət haqqı 3.50 AZN təşkil edir
Ətraflı məlumat üçün: https://t.co/HopK9FUwQD",https://t.co/HopK9FUwQD,[],[]
1531931501901754368,Bakcell,2022-06-01 09:31:46+00:00,@elvinaliyew Bizimlə olduğunuz üçün təşəkkür edirik😊,No url,[],[]
1531930605482430464,Bakcell,2022-06-01 09:28:12+00:00,@babatnuts Buyurun.😊,No url,[],[]
1531928576802422785,Bakcell,2022-06-01 09:20:09+00:00,@babatnuts Buyurun. 🤗,No url,[],[]
1531925937746370560,Bakcell,2022-06-01 09:09:40+00:00,@babatnuts Müraciətiniz üçün təşəkkür edirik😊,No url,[],[]
1531923853659672576,Bakcell,2022-06-01 09:01:23+00:00,"@babatnuts Salam. Siz,  *#06# kodu vasitəsilə cihazın eSIM-i dəstəkləyib-dəstəkləmədiyini yoxlaya bilərsiniz.. Cihaz eSIM-i dəstəkləyərsə, *#06# kodu daxil edildikdən sonra mobil cihazda EID şifrəsi əks olunacaq.",No url,[],[]
1531922544051093504,Bakcell,2022-06-01 08:56:10+00:00,@Amidos Təşəkkürlər.☺️,No url,[],[]
1531915719264284672,Bakcell,2022-06-01 08:29:03+00:00,@BayramliElxan Bizi seçdiyiniz üçün təşəkkür edirik😊,No url,[],[]
1531893791539576832,Bakcell,2022-06-01 07:01:55+00:00,"Bakcell eSIM-i təqdim edir!
#Bakcell #eSIM https://t.co/52qAzRG3WD",No url,"[{'text': 'Bakcell', 'indices': [28, 36]}, {'text': 'eSIM', 'indices': [37, 42]}]",[]
1531867802004361223,Bakcell,2022-06-01 05:18:39+00:00,"@nctncfv Salam. 
Hazırda ümumi çətinlik mövcud deyil. Nömrənizdə bu hal baş verirsə, zəhmət olmasa nömrənizi direktə qeyd edin, kğməklik göstərək.",No url,[],[]
1530444189384822786,Bakcell,2022-05-28 07:01:43+00:00,Türk pilotları Bakı səmasında https://t.co/dewmxHIfUN,No url,[],[]
1530428655754629123,Bakcell,2022-05-28 06:00:00+00:00,"28 May bayramınız mübarək! Müstəqilliyimiz əbədi yaşasın!
#Bakcell #müstəqillikgünü #Azərbaycan #28maymüstəqillikgünü https://t.co/wG8PN0UfKR",No url,"[{'text': 'Bakcell', 'indices': [58, 66]}, {'text': 'müstəqillikgünü', 'indices': [67, 83]}, {'text': 'Azərbaycan', 'indices': [84, 95]}, {'text': '28maymüstəqillikgünü', 'indices': [96, 117]}]",[]
1529402915508695042,Bakcell,2022-05-25 10:04:04+00:00,"iPhone smartfonlarında VoLTE-ni aktivləşdirmək üçün video bələdçi.
#Bakcell #Volte #Bakcell4G #AydınSəs #SürətliZəng #Kəsintisizİnternet https://t.co/vjxyJJzFXh",No url,"[{'text': 'Bakcell', 'indices': [67, 75]}, {'text': 'Volte', 'indices': [76, 82]}, {'text': 'Bakcell4G', 'indices': [83, 93]}, {'text': 'AydınSəs', 'indices': [94, 103]}, {'text': 'SürətliZəng', 'indices': [104, 116]}, {'text': 'Kəsintisizİnternet', 'indices': [117, 136]}]",[]
1528595008319696901,Bakcell,2022-05-23 04:33:44+00:00,@Elshan_Yusibov Salam. Zəhmət olmasa nömrənizi və ünvanınızı mesaj bölümünə təqdim edin.,No url,[],[]
1527610377009213440,Bakcell,2022-05-20 11:21:10+00:00,"@Elshan_Yusibov Bakı Metropoliteninin rəhbərliyi tərəfindən bizə icazə təqdim olnmadığına görə işlər aparılmır, lakin çalışacayıq ki gələcəkdə bu hal ilə rastlaşmayasınız.",No url,[],[]
1527598144644452352,Bakcell,2022-05-20 10:32:33+00:00,"@Elshan_Yusibov Öncədən qeyd etdiyimiz kimi, zəhmət olmasa nömrənizi direktə qeyd edin, yoxlayaq.",No url,[],[]
1527577900853080064,Bakcell,2022-05-20 09:12:07+00:00,"@Fidan_ab Bu halda zəhmət olmasa nömrənizi direktə qeyd edin, yoxlayaq.",No url,[],[]
1527575863176200192,Bakcell,2022-05-20 09:04:01+00:00,@Elshan_Yusibov Salam. Qeyd etdiyiniz ərazi strateji obyektdir və həmin ərazidə işlərin aparılması üçün Bakı Metropoliteni rəhbərliyindən rəsmi icazə lazımdır.,No url,[],[]
1527212816519897088,Bakcell,2022-05-19 09:01:24+00:00,"Mənim Bakcellim nömrənə tam nəzarət təklif edir.
Balansı yoxlamaq, artırmaq, internet paketini idarə etməklə yanaşı olaraq, istifadə tarixçəsinə də baxa bilərsən.
Tətbiqi yükləmək üçün: https://t.co/164V5kYWpD  
#Bakcell #MyBakcell #MənimBakcellim #InternetPaketləri https://t.co/J7QQbpstlk",https://t.co/164V5kYWpD,"[{'text': 'Bakcell', 'indices': [212, 220]}, {'text': 'MyBakcell', 'indices': [221, 231]}, {'text': 'MənimBakcellim', 'indices': [232, 247]}, {'text': 'InternetPaketləri', 'indices': [248, 266]}]",[]
1526554159977316355,Bakcell,2022-05-17 13:24:08+00:00,"Bakcell VoLTE-ni istifadəyə verdi və bir çox abunəçi bu xidmət haqqında ətraflı öyrənmək istəyir. Sual-Cavab rubrikamızla biz sizə mütəmadi məlumat verəcəyik.

#Bakcell #Volte #Bakcell4G #AydınSəs #SürətliZəng #Kəsintisizİnternet https://t.co/EeiRRBRoSC",No url,"[{'text': 'Bakcell', 'indices': [160, 168]}, {'text': 'Volte', 'indices': [169, 175]}, {'text': 'Bakcell4G', 'indices': [176, 186]}, {'text': 'AydınSəs', 'indices': [187, 196]}, {'text': 'SürətliZəng', 'indices': [197, 209]}, {'text': 'Kəsintisizİnternet', 'indices': [210, 229]}]",[]
1526545149458776068,Bakcell,2022-05-17 12:48:20+00:00,"RT @NEQSOLHOLDING: For first time in Azerbaijan, @Bakcell, part of #NEQSOLHolding, launched #VoLTE state-of-the-art voice technology. It pr…",No url,"[{'text': 'NEQSOLHolding', 'indices': [67, 81]}, {'text': 'VoLTE', 'indices': [92, 98]}]",[]
1526510925124993024,Bakcell,2022-05-17 10:32:20+00:00,"@khidilov @aslanlachinli Salam. 
Xeyr. VoLTE şəbəkəsində zəng olan zaman internet sərf edilmir və heç bir trafik çıxılmır. Sadəcə VoLTE sayəsində zəng zamanı internetdə kəsinti olmayacaq.",No url,[],[]
1524974675696095232,Bakcell,2022-05-13 04:47:50+00:00,"@ibnxanlar Şəbəkə ilə bağlı çətinliyi və nömrənizi direktə qeyd edin zəhmət olmasa, yoxlayaq.",No url,[],[]
1524972529902792704,Bakcell,2022-05-13 04:39:18+00:00,"@ibnxanlar Salam. 
Müraciətiniz dəqiq olaraq nə ilə bağlıdır? Hansı çətinliklə üzləşmisiniz?",No url,[],[]
1524645695994703872,Bakcell,2022-05-12 07:00:35+00:00,"Bakcell ən müasir səs texnologiyası VoLTE-ni təqdim edir!
#Bakcell #VoLTE https://t.co/So373oNvyI",No url,"[{'text': 'Bakcell', 'indices': [58, 66]}, {'text': 'VoLTE', 'indices': [67, 73]}]",[]
1524281394108637184,Bakcell,2022-05-11 06:52:58+00:00,"@aslanlachinli Salam.
Təəssüf ki, Bakcell-in rəsmi Twitter səhifəsində sizə yalnız xidmət, kampaniya və məhsullarımız barədə ümumi məlumat təqdim edə bilərik. Nömrənizin yoxlanılması üçün, zəhmət olmasa,  şəxsi mesaj bölümündə qeyd edilən qaydada müraciət edin.",No url,[],[]
