Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1461661031650971650,Baku_metro,2021-11-19 11:42:00+00:00,"“Cəbrayılın azad olunmasına görə” medalı ilə təltif edilib.
#QarabağAzərbaycandır https://t.co/16UBzJeStj",No url,"[{'text': 'QarabağAzərbaycandır', 'indices': [60, 81]}]",[]
1461661024256413709,Baku_metro,2021-11-19 11:41:59+00:00,"Müzəffər ordumuzun igid əsgəri, cəsur metropolitençimiz.🇦🇿
Seyidhəmid İlyasov nəqliyyat və xüsusi texnika departamentinin avtomotonəqliyyat kolonunun fəhləsi. 2001-ci il martın 30-da Sumqayıtda anadan olub. Murovdağ, Füzuli, Cəbrayıl, Xocavəndin azad olunmasında iştirak edib. https://t.co/EyxUFyZ6vo",No url,[],[]
1461556928769835009,Baku_metro,2021-11-19 04:48:20+00:00,"“Cəsur döyüşçü” və “Xocavəndin azad olunmasına görə” medallarına layiq görülüb.
#QarabağAzərbaycandır https://t.co/FzH7cF8fSI",No url,"[{'text': 'QarabağAzərbaycandır', 'indices': [80, 101]}]",[]
1461556921635418118,Baku_metro,2021-11-19 04:48:19+00:00,"Müzəffər ordumuzun igid əsgəri, cəsur metropolitençimiz.🇦🇿
Taleh Allahverdiyev elektrik təchizatı xidmətinin elektrik montyoru. 
1997-ci il aprelin 6-da Şəkidə anadan olub. Xocavənd uğrunda gedən döyüşlərdə yaralanıb. https://t.co/mdUyoY3Lfo",No url,[],[]
1461265535920975874,Baku_metro,2021-11-18 09:30:27+00:00,"“Qubadlının azad olunmasına görə” medalı ilə təltif edilib.
#QarabağAzərbaycandır",No url,"[{'text': 'QarabağAzərbaycandır', 'indices': [60, 81]}]",[]
1461265532167069700,Baku_metro,2021-11-18 09:30:26+00:00,"Müzəffər ordumuzun igid əsgəri, cəsur metropolitençimiz.🇦🇿
Məmmədbala Məmmədov depolar üzrə iş departamentinin mexanizasiya şöbəsinin təmirçi çilingəri. 1999-cu il fevralın 5-də Bakıda anadan olub. 
Topçu kimi Cəbrayıl və Qubadlının azad edilməsində iştirak edib. https://t.co/yMjoSCSZUD",No url,[],[]
1461261206858211330,Baku_metro,2021-11-18 09:13:15+00:00,"“Suqovuşanın azad olunmasına görə”, “Cəsur döyüşçü”, “Vətən müharibəsi iştirakçısı” medalları ilə təltif edilib. 
#QarabağAzərbaycandır",No url,"[{'text': 'QarabağAzərbaycandır', 'indices': [114, 135]}]",[]
1461261202743566341,Baku_metro,2021-11-18 09:13:14+00:00,"Müzəffər ordumuzun igid əsgəri, cəsur metropolitençimiz.🇦🇿
Vüqar Məmmədov elektrik təchizatı xidmətinin elektrik mexaniki. 
1991-ci il fevralın 16-da Bakıda anadan olub. Tərtər-Ağdərə istiqamətində gedən döyüşlərdə iştirak edib. Həmin döyüşlərdə yaralanıb, II qrup əlildir. https://t.co/ETdGXHEsBN",No url,[],[]
1460911292789800968,Baku_metro,2021-11-17 10:02:49+00:00,"Avqust ayında “Cəfər Cabbarlı” stansiyasının əsaslı təmiri və yenidənqurma işlərinin tərkib hissəsi kimi “Xətai” stansiyası istiqamətindəki tunelin 481 m hissəsində ağac şpalların sökülməsi başa çatıb. 
Daha ətraflı: https://t.co/xKq4Ueew2k https://t.co/M4gK6e99Tt",https://t.co/xKq4Ueew2k,[],[]
1460911283201527814,Baku_metro,2021-11-17 10:02:46+00:00,Bakı metropoliteninin uzun illərdir istismar olunan tunel yollarında ilk dəfə dəmir-beton blokların quraşdırılmasına başlanılıb. https://t.co/c1sDZLSRiW,No url,[],[]
1460868397202395137,Baku_metro,2021-11-17 07:12:22+00:00,17 noyabr Milli Dirçəliş Günü münasibətilə xalqımızı təbrik edirik! https://t.co/Ne6amuTAfD,No url,[],[]
1460850722610847746,Baku_metro,2021-11-17 06:02:08+00:00,"2021-ci noyabrın 1-dən metropolitençidir.
Vətən müharibəsinə həqiqi hərbi xidmətdə olduğu dövrdə qoşulub. Tərtər-Ağdərə istiqamətindəki döyüşlərdə iştirak edib. “Suqovuşanın azad olunmasına görə”, “Vətən müharibəsi iştirakçısı” medalları ilə təltif edilib.
#QarabağAzərbaycandır",No url,"[{'text': 'QarabağAzərbaycandır', 'indices': [257, 278]}]",[]
1460850718529708033,Baku_metro,2021-11-17 06:02:07+00:00,"Müzəffər ordumuzun igid əsgəri, cəsur metropolitençimiz.🇦🇿
Ruslan Mürsəliyev elektromexanika xidməti təmir və yenidənqurma distansiyasının elektrik çilingəri. 1999-cu il avqustun 20-də Bakıda anadan olub. Milli Aviasiya Akademiyasını bitirib, istehsalın təşkili üzrə mühəndisdir. https://t.co/wjtQGSyObc",No url,[],[]
