Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1540798549243445250,HA_Center,2022-06-25 20:46:15+00:00,#silahlıqüvvələrgünü #26iyun #victoriousazerbaijaniheroes #muzefferazerbaycanordusu #azerbaijan #azerbaycan #heydereliyevmerkezi #heydaraliyevcenter https://t.co/FC2LiN1IYu,No url,"[{'text': 'silahlıqüvvələrgünü', 'indices': [0, 20]}, {'text': '26iyun', 'indices': [21, 28]}, {'text': 'victoriousazerbaijaniheroes', 'indices': [29, 57]}, {'text': 'muzefferazerbaycanordusu', 'indices': [58, 83]}, {'text': 'azerbaijan', 'indices': [84, 95]}, {'text': 'azerbaycan', 'indices': [96, 107]}, {'text': 'heydereliyevmerkezi', 'indices': [108, 128]}, {'text': 'heydaraliyevcenter', 'indices': [129, 148]}]",[]
1540284513229701120,HA_Center,2022-06-24 10:43:39+00:00,#heydaraliyevcenter #10ilsizinle #10ilbirlikde #heydereliyevmerkezi #anniversary https://t.co/lJ48KT4lRd,No url,"[{'text': 'heydaraliyevcenter', 'indices': [0, 19]}, {'text': '10ilsizinle', 'indices': [20, 32]}, {'text': '10ilbirlikde', 'indices': [33, 46]}, {'text': 'heydereliyevmerkezi', 'indices': [47, 67]}, {'text': 'anniversary', 'indices': [68, 80]}]",[]
1539150043319615489,HA_Center,2022-06-21 07:35:41+00:00,#jazz #concert #heydaraliyevcenter #jazzfest #jazzdays #baku #azerbaijan #caz #musiqi #music #outdooorevents https://t.co/SxMeSjFa9w,No url,"[{'text': 'jazz', 'indices': [0, 5]}, {'text': 'concert', 'indices': [6, 14]}, {'text': 'heydaraliyevcenter', 'indices': [15, 34]}, {'text': 'jazzfest', 'indices': [35, 44]}, {'text': 'jazzdays', 'indices': [45, 54]}, {'text': 'baku', 'indices': [55, 60]}, {'text': 'azerbaijan', 'indices': [61, 72]}, {'text': 'caz', 'indices': [73, 77]}, {'text': 'musiqi', 'indices': [78, 85]}, {'text': 'music', 'indices': [86, 92]}, {'text': 'outdooorevents', 'indices': [93, 108]}]",[]
1538905258176532480,HA_Center,2022-06-20 15:22:59+00:00,#jazz #concert #heydaraliyevcenter #jazzfest #jazzdays #baku #azerbaijan #caz #musiqi #music #outdooorevents https://t.co/KIzTWFTFh4,No url,"[{'text': 'jazz', 'indices': [0, 5]}, {'text': 'concert', 'indices': [6, 14]}, {'text': 'heydaraliyevcenter', 'indices': [15, 34]}, {'text': 'jazzfest', 'indices': [35, 44]}, {'text': 'jazzdays', 'indices': [45, 54]}, {'text': 'baku', 'indices': [55, 60]}, {'text': 'azerbaijan', 'indices': [61, 72]}, {'text': 'caz', 'indices': [73, 77]}, {'text': 'musiqi', 'indices': [78, 85]}, {'text': 'music', 'indices': [86, 92]}, {'text': 'outdooorevents', 'indices': [93, 108]}]",[]
1536825020378451975,HA_Center,2022-06-14 21:36:52+00:00,#heydaraliyev #milliqurtulusgunu #azerbaijan #azerbaycan https://t.co/GGKWZINA6Z,No url,"[{'text': 'heydaraliyev', 'indices': [0, 13]}, {'text': 'milliqurtulusgunu', 'indices': [14, 32]}, {'text': 'azerbaijan', 'indices': [33, 44]}, {'text': 'azerbaycan', 'indices': [45, 56]}]",[]
1535662671030276096,HA_Center,2022-06-11 16:38:06+00:00,"Beynəlxalq Avtomobil Federasiyasının (FIA) prezidenti, ralli üzrə keçmiş pilot Mohammad ben Sulayem Heydər Əliyev Mərkəzini ziyarət edib. #formula1 #fia #baku #azerbaijan #heydaraliyevcenter #aaf #faa

https://t.co/T6daNcN4iL",https://t.co/T6daNcN4iL,"[{'text': 'formula1', 'indices': [138, 147]}, {'text': 'fia', 'indices': [148, 152]}, {'text': 'baku', 'indices': [153, 158]}, {'text': 'azerbaijan', 'indices': [159, 170]}, {'text': 'heydaraliyevcenter', 'indices': [171, 190]}, {'text': 'aaf', 'indices': [191, 195]}, {'text': 'faa', 'indices': [196, 200]}]",[]
1535662224911609856,HA_Center,2022-06-11 16:36:20+00:00,"Beynəlxalq Avtomobil Federasiyasının (FIA) prezidenti, ralli üzrə keçmiş pilot Mohammad ben Sulayem Heydər Əliyev Mərkəzini ziyarət edib. #fia #aaf #faa #Formula1 #baku #azerbaijan #heydaraliyevcenter https://t.co/LyRj0BBmoQ",No url,"[{'text': 'fia', 'indices': [138, 142]}, {'text': 'aaf', 'indices': [143, 147]}, {'text': 'faa', 'indices': [148, 152]}, {'text': 'Formula1', 'indices': [153, 162]}, {'text': 'baku', 'indices': [163, 168]}, {'text': 'azerbaijan', 'indices': [169, 180]}, {'text': 'heydaraliyevcenter', 'indices': [181, 200]}]",[]
1535233865953984513,HA_Center,2022-06-10 12:14:11+00:00,#classiccars #exhibition #heydaraliyevcenter #baku #azerbaijan https://t.co/0WxyVZlgPk,No url,"[{'text': 'classiccars', 'indices': [0, 12]}, {'text': 'exhibition', 'indices': [13, 24]}, {'text': 'heydaraliyevcenter', 'indices': [25, 44]}, {'text': 'baku', 'indices': [45, 50]}, {'text': 'azerbaijan', 'indices': [51, 62]}]",[]
1533526182737715202,HA_Center,2022-06-05 19:08:28+00:00,#Afffair #défilé #Azerbaijanicarpets #Heydaraliyevcenter #Baku #Azerbaijan https://t.co/2r8vE9AmNG,No url,"[{'text': 'Afffair', 'indices': [0, 8]}, {'text': 'défilé', 'indices': [9, 16]}, {'text': 'Azerbaijanicarpets', 'indices': [17, 36]}, {'text': 'Heydaraliyevcenter', 'indices': [37, 56]}, {'text': 'Baku', 'indices': [57, 62]}, {'text': 'Azerbaijan', 'indices': [63, 74]}]",[]
1533515986292318208,HA_Center,2022-06-05 18:27:57+00:00,"Heydər Əliyev Mərkəzində xalça motivləri əsasında hazırlanan geyimlərin dəfiləsi keçirilib - https://t.co/CDgD5UehII…

#heydərəliyevfondu #heydaraliyevfoundation #afffairincarpet #Azərbaycan #AzerbaijanAfffairAzərxalça",https://t.co/CDgD5UehII,"[{'text': 'heydərəliyevfondu', 'indices': [119, 137]}, {'text': 'heydaraliyevfoundation', 'indices': [138, 161]}, {'text': 'afffairincarpet', 'indices': [162, 178]}, {'text': 'Azərbaycan', 'indices': [179, 190]}, {'text': 'AzerbaijanAfffairAzərxalça', 'indices': [191, 218]}]",[]
1533515628916645888,HA_Center,2022-06-05 18:26:31+00:00,https://t.co/FbClvQWe04,https://t.co/FbClvQWe04,[],[]
1533515332991782915,HA_Center,2022-06-05 18:25:21+00:00,https://t.co/swnJkt7hgU,https://t.co/swnJkt7hgU,[],[]
1533514842262360064,HA_Center,2022-06-05 18:23:24+00:00,#defile #afffair #heydaraliyevcenter #baku #azerbaijan https://t.co/zWDj3LmpHI,No url,"[{'text': 'defile', 'indices': [0, 7]}, {'text': 'afffair', 'indices': [8, 16]}, {'text': 'heydaraliyevcenter', 'indices': [17, 36]}, {'text': 'baku', 'indices': [37, 42]}, {'text': 'azerbaijan', 'indices': [43, 54]}]",[]
1533514502666440705,HA_Center,2022-06-05 18:22:03+00:00,#defile #afffair #azerbaijanicarpets #heydaraliyevcenter https://t.co/JDmIPGkuMf,No url,"[{'text': 'defile', 'indices': [0, 7]}, {'text': 'afffair', 'indices': [8, 16]}, {'text': 'azerbaijanicarpets', 'indices': [17, 36]}, {'text': 'heydaraliyevcenter', 'indices': [37, 56]}]",[]
1533514101741301761,HA_Center,2022-06-05 18:20:27+00:00,#newexibition #heydaraliyevcenter #azerbaijanicarpets #baku #azerbaijan https://t.co/oZGZyYJn3S,No url,"[{'text': 'newexibition', 'indices': [0, 13]}, {'text': 'heydaraliyevcenter', 'indices': [14, 33]}, {'text': 'azerbaijanicarpets', 'indices': [34, 53]}, {'text': 'baku', 'indices': [54, 59]}, {'text': 'azerbaijan', 'indices': [60, 71]}]",[]
1533513713373831173,HA_Center,2022-06-05 18:18:55+00:00,#newexhibition #azerbaijanicarpets #azerbaijan #heydaraliyevcenter https://t.co/f77Iayl25g,No url,"[{'text': 'newexhibition', 'indices': [0, 14]}, {'text': 'azerbaijanicarpets', 'indices': [15, 34]}, {'text': 'azerbaijan', 'indices': [35, 46]}, {'text': 'heydaraliyevcenter', 'indices': [47, 66]}]",[]
1531614349848154112,HA_Center,2022-05-31 12:31:31+00:00,#IMEX2022 #imexfrankfurt #heydaraliyevcenter #azerbaijan https://t.co/koEZrU1t80,No url,"[{'text': 'IMEX2022', 'indices': [0, 9]}, {'text': 'imexfrankfurt', 'indices': [10, 24]}, {'text': 'heydaraliyevcenter', 'indices': [25, 44]}, {'text': 'azerbaijan', 'indices': [45, 56]}]",[]
