Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1461944067156283394,INazirliyi,2021-11-20 06:26:41+00:00,"Ağdamın erməni işğalından azad edilməsindən 1 il ötür.

#Ağdam #AğdamAzərbaycandır #MüzəffərAliBaşKomandan #RəşadətliAzərbaycanOrdusu #DəmirYumruq #VətənMüharibəsi https://t.co/gqzHeaZ5Tt",No url,"[{'text': 'Ağdam', 'indices': [56, 62]}, {'text': 'AğdamAzərbaycandır', 'indices': [63, 82]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [83, 106]}, {'text': 'RəşadətliAzərbaycanOrdusu', 'indices': [107, 133]}, {'text': 'DəmirYumruq', 'indices': [134, 146]}, {'text': 'VətənMüharibəsi', 'indices': [147, 163]}]",[]
1461282687558299657,INazirliyi,2021-11-18 10:38:36+00:00,"#İqtisadiyyatnaziri Mikayıl Cabbarov (@JabbarovMikayil) ilə Avropa Komissiyasının Qonşuluq və Genişlənmə Danışıqları (@EUnear) üzrə Baş direktor vəzifəsini icra edən Matsey Popovski arasında görüş keçirilmişdir.

Ətraflı - https://t.co/dKjsmmvU8A

#İqtisadiyyat #EconomyAz https://t.co/1heDEXWJNa",https://t.co/dKjsmmvU8A,"[{'text': 'İqtisadiyyatnaziri', 'indices': [0, 19]}, {'text': 'İqtisadiyyat', 'indices': [248, 261]}, {'text': 'EconomyAz', 'indices': [262, 272]}]",[]
1461222251127316483,INazirliyi,2021-11-18 06:38:27+00:00,"İqtisadiyyat naziri Mikayıl Cabbarov (@MikayilJabbarov) Dünya Bankının Avropa və Mərkəzi Asiya üzrə regional vitse-prezidenti Anna Byerde  ilə görüşüb. 

Ətraflı – https://t.co/IYEclZNBx3

#İqtisadiyyat #EconomyAz #Worldbank https://t.co/2de99Qbnzl",https://t.co/IYEclZNBx3,"[{'text': 'İqtisadiyyat', 'indices': [189, 202]}, {'text': 'EconomyAz', 'indices': [203, 213]}, {'text': 'Worldbank', 'indices': [214, 224]}]",[]
1461002019242713090,INazirliyi,2021-11-17 16:03:20+00:00,"Asiya İnkişaf Bankının (@AsianDevBank) Mərkəzi Asiya Regional İqtisadi Əməkdaşlıq Proqramının (@CARECProgram) “Rəqəmsal dövrdə əlaqə, əməkdaşlıq və dayanıqlıq” mövzusunda 20-ci Nazirlər Konfransı keçirilib.

Ətraflı - https://t.co/93tsqRYtqG

#İqtisadiyyat #EconomyAz https://t.co/1fCPirs7mb",https://t.co/93tsqRYtqG,"[{'text': 'İqtisadiyyat', 'indices': [243, 256]}, {'text': 'EconomyAz', 'indices': [257, 267]}]",[]
1460949093744791559,INazirliyi,2021-11-17 12:33:01+00:00,RT @MikayilJabbarov: Ermənistanın təxribatı nəticəsində silahlı qüvvələrimizin 7 hərbi qulluqçusu şəhid olub. Allah bütün şəhidlərimizə rəh…,No url,[],[]
1460834252560510985,INazirliyi,2021-11-17 04:56:41+00:00,#17Noyabr #DirçəlişGünü https://t.co/9HV3rrBBjv,No url,"[{'text': '17Noyabr', 'indices': [0, 9]}, {'text': 'DirçəlişGünü', 'indices': [10, 23]}]",[]
1460543452987506691,INazirliyi,2021-11-16 09:41:09+00:00,"İqtisadiyyat Nazirliyində Vətən müharibəsində iştirak etmiş əməkdaşlarla görüş keçirilib.

Ətraflı - https://t.co/8Vx4LF58Ws

#QarabağAzərbaycandır #MüzəffərAliBaşKomandan #RəşadətliAzərbaycanOrdusu #DəmirYumruq #VətənMüharibəsi https://t.co/wSEYVHmlaW",https://t.co/8Vx4LF58Ws,"[{'text': 'QarabağAzərbaycandır', 'indices': [126, 147]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [148, 171]}, {'text': 'RəşadətliAzərbaycanOrdusu', 'indices': [172, 198]}, {'text': 'DəmirYumruq', 'indices': [199, 211]}, {'text': 'VətənMüharibəsi', 'indices': [212, 228]}]",[]
1460197078936735745,INazirliyi,2021-11-15 10:44:47+00:00,"Noyabrın 15-də Bakı Konqres Mərkəzində 25-ci Beynəlxalq Biznes Forum (İBF - İnternational Business Forum) öz işinə başlayıb.

Ətraflı – https://t.co/gOIhVpHUo3

#İqtisadiyyat #EconomyAz #IBF #MUSIAD #KOBIA https://t.co/vkbRdcSjoA",https://t.co/gOIhVpHUo3,"[{'text': 'İqtisadiyyat', 'indices': [161, 174]}, {'text': 'EconomyAz', 'indices': [175, 185]}, {'text': 'IBF', 'indices': [186, 190]}, {'text': 'MUSIAD', 'indices': [191, 198]}, {'text': 'KOBIA', 'indices': [199, 205]}]",[]
1459047820325969924,INazirliyi,2021-11-12 06:38:02+00:00,"İstanbulda “Türkiyə - Türk dövlətləri: İqtisadiyyat və Ticarət Konfransı” keçirilib. Tədbirdə türkdilli ölkələrin nazirləri, iş adamları, startapçılar iştirak ediblər.

 Ətraflı – https://t.co/2DAkMFdUeC

#İqtisadiyyat #EconomyAz https://t.co/oaImDuxXfh",https://t.co/2DAkMFdUeC,"[{'text': 'İqtisadiyyat', 'indices': [205, 218]}, {'text': 'EconomyAz', 'indices': [219, 229]}]",[]
1459016680437395467,INazirliyi,2021-11-12 04:34:18+00:00,#12noyabr #KonstitusiyaGünü https://t.co/KGpS01My5q,No url,"[{'text': '12noyabr', 'indices': [0, 9]}, {'text': 'KonstitusiyaGünü', 'indices': [10, 27]}]",[]
1458412738355601409,INazirliyi,2021-11-10 12:34:27+00:00,"Zəfər Günü İqtisadiyyat Nazirliyinin Heydər Əliyev prospektində yerləşən inzibati binasının üzərində də xüsusi işıqlandırma ilə Azərbaycan bayrağı və Xarı bülbül əks olunub.

Ətraflı - https://t.co/CXkIIhbhHu

#Zəfər #ZəfərGünü #QarabağAzərbaycandır #MüzəffərAliBaşKomandan https://t.co/MHdCpczNlo",https://t.co/CXkIIhbhHu,"[{'text': 'Zəfər', 'indices': [210, 216]}, {'text': 'ZəfərGünü', 'indices': [217, 227]}, {'text': 'QarabağAzərbaycandır', 'indices': [228, 249]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [250, 273]}]",[]
1457935988391616514,INazirliyi,2021-11-09 05:00:01+00:00,#9noyabr #BayraqGünü https://t.co/KYHGS6ILPd,No url,"[{'text': '9noyabr', 'indices': [0, 8]}, {'text': 'BayraqGünü', 'indices': [9, 20]}]",[]
1457582412020527112,INazirliyi,2021-11-08 05:35:02+00:00,"Zəfərin mübarək, Azərbaycan!

#Zəfər #ZəfərGünü #QarabağAzərbaycandır #MüzəffərAliBaşKomandan #RəşadətliAzərbaycanOrdusu #DəmirYumruq #VətənMüharibəsi https://t.co/Y4CK13dnYN",No url,"[{'text': 'Zəfər', 'indices': [30, 36]}, {'text': 'ZəfərGünü', 'indices': [37, 47]}, {'text': 'QarabağAzərbaycandır', 'indices': [48, 69]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [70, 93]}, {'text': 'RəşadətliAzərbaycanOrdusu', 'indices': [94, 120]}, {'text': 'DəmirYumruq', 'indices': [121, 133]}, {'text': 'VətənMüharibəsi', 'indices': [134, 150]}]",[]
1457573507274002435,INazirliyi,2021-11-08 04:59:39+00:00,"Əziz Şuşa, sən azadsan!
Əziz Şuşa, biz qayıtmışıq!
Əziz Şuşa, biz səni dirçəldəcəyik!
Şuşanın erməni işğalından azad edilməsindən 1 il ötür!

#Şuşa #QarabağAzərbaycandır #MüzəffərAliBaşKomandan #RəşadətliAzərbaycanOrdusu #DəmirYumruq #VətənMüharibəsi https://t.co/XdEwokPm6B",No url,"[{'text': 'Şuşa', 'indices': [142, 147]}, {'text': 'QarabağAzərbaycandır', 'indices': [148, 169]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [170, 193]}, {'text': 'RəşadətliAzərbaycanOrdusu', 'indices': [194, 220]}, {'text': 'DəmirYumruq', 'indices': [221, 233]}, {'text': 'VətənMüharibəsi', 'indices': [234, 250]}]",[]
1456314159986003981,INazirliyi,2021-11-04 17:35:27+00:00,"#BƏƏ ilə iqtisadi əməkdaşlığın inkişafı perspektivləri genişdir.

Ətraflı - https://t.co/TiKcxDJQ3R

#İqtisadiyyat #EconomyAz https://t.co/0ak2YiYHgk",https://t.co/TiKcxDJQ3R,"[{'text': 'BƏƏ', 'indices': [0, 4]}, {'text': 'İqtisadiyyat', 'indices': [101, 114]}, {'text': 'EconomyAz', 'indices': [115, 125]}]",[]
1455164978093248519,INazirliyi,2021-11-01 13:29:01+00:00,"Biznes mühiti və Beynəlxalq reytinqlər üzrə Komissiyanın Xarici ticarət və ticarət tarifləri üzrə İşçi qrupunun oktyabrın 29-da video-konfrans formatında iclası keçirilib. 

Ətraflı - https://t.co/AONzGLKFgo

#BiznesMühiti #Komissiya #İşçiQrup",https://t.co/AONzGLKFgo,"[{'text': 'BiznesMühiti', 'indices': [209, 222]}, {'text': 'Komissiya', 'indices': [223, 233]}, {'text': 'İşçiQrup', 'indices': [234, 243]}]",[]
1453638203240501249,INazirliyi,2021-10-28 08:22:09+00:00,"Asiya İnfrastruktur İnvestisiya Bankının (@AIIB_Official) Müdirlər Şurasının 6-cı İllik Toplantısı çərçivəsində “Müdirlərin Dəyirmi Masası” keçirilib.

Ətraflı -  https://t.co/tNQr4PcM80

#EconomyAz #AIIB https://t.co/rPlNJfeHFz",https://t.co/tNQr4PcM80,"[{'text': 'EconomyAz', 'indices': [188, 198]}, {'text': 'AIIB', 'indices': [199, 204]}]",[]
1453589430724354048,INazirliyi,2021-10-28 05:08:21+00:00,"Biznes mühiti və Beynəlxalq reytinqlər üzrə Komissiyanın Xarici ticarət və ticarət tarifləri üzrə İşçi qrupunun 29 oktyabr 2021-ci il tarixində növbəti iclasının keçirilməsi nəzərdə tutulur.

Ətraflı - https://t.co/7sh2fjddJ3

#BiznesMühiti #Komissiya #İşçiQrup",https://t.co/7sh2fjddJ3,"[{'text': 'BiznesMühiti', 'indices': [227, 240]}, {'text': 'Komissiya', 'indices': [241, 251]}, {'text': 'İşçiQrup', 'indices': [252, 261]}]",[]
1453312957568401410,INazirliyi,2021-10-27 10:49:44+00:00,"Oktyabrın 27-də Bakıda Azərbaycan İnvestisiya və Mədəniyyət Sammiti öz işinə başlayıb. Tədbirdə ümumilikdə 20-dən çox ölkədən nümayəndələr iştirak edib.

Ətraflı - https://t.co/6Ma64olnq6

#İƏT #İqtisadiyyat #EconomyAz https://t.co/IHcFzsV3ms",https://t.co/6Ma64olnq6,"[{'text': 'İƏT', 'indices': [189, 193]}, {'text': 'İqtisadiyyat', 'indices': [194, 207]}, {'text': 'EconomyAz', 'indices': [208, 218]}]",[]
1453219908746100742,INazirliyi,2021-10-27 04:40:00+00:00,"Oktyabrın 26-da “Sumqayıt Kimya Sənaye Parkı” MMC-nin nəzdində Peşə Təhsil Mərkəzinin inzibati binasında Nazirliyin şəhid əməkdaşı Asəf Nəsibovun anım günü keçirilib, xatirə lövhəsinin açılışı olub.

Ətraflı – https://t.co/rYH6NoWf4b

#VətənMüharibəsi #QarabağAzərbaycandır https://t.co/Ba2sYJIlp3",https://t.co/rYH6NoWf4b,"[{'text': 'VətənMüharibəsi', 'indices': [235, 251]}, {'text': 'QarabağAzərbaycandır', 'indices': [252, 273]}]",[]
1452494427063209987,INazirliyi,2021-10-25 04:37:12+00:00,"Qubadlının erməni işğalından azad edilməsindən 1 il ötür.

#Qubadlı #QarabağAzərbaycandır #MüzəffərAliBaşKomandan #RəşadətliAzərbaycanOrdusu #DəmirYumruq #VətənMüharibəsi https://t.co/O3RexcuKep",No url,"[{'text': 'Qubadlı', 'indices': [59, 67]}, {'text': 'QarabağAzərbaycandır', 'indices': [68, 89]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [90, 113]}, {'text': 'RəşadətliAzərbaycanOrdusu', 'indices': [114, 140]}, {'text': 'DəmirYumruq', 'indices': [141, 153]}, {'text': 'VətənMüharibəsi', 'indices': [154, 170]}]",[]
1451509721790357506,INazirliyi,2021-10-22 11:24:20+00:00,"#İqtisadiyyatnaziri Mikayıl Cabbarov (@JabbarovMikayil) 7-ci #DünyaİnvestisiyaForumu çərçivəsində onlayn formatda “Davamlı İnvestisiyalar üzrə dəyirmi masa” panel sessiyasında çıxış edib.

Ətraflı - https://t.co/Xx1HeTpH0O

#İqtisadiyyat #EconomyAz https://t.co/O4iARypQWp",https://t.co/Xx1HeTpH0O,"[{'text': 'İqtisadiyyatnaziri', 'indices': [0, 19]}, {'text': 'DünyaİnvestisiyaForumu', 'indices': [61, 84]}, {'text': 'İqtisadiyyat', 'indices': [224, 237]}, {'text': 'EconomyAz', 'indices': [238, 248]}]",[]
1451463528339197954,INazirliyi,2021-10-22 08:20:46+00:00,"Oktyabrın 21-də Azərbaycan Respublikası Hökuməti və #Monqolustan Hökuməti arasında Ticarət və İqtisadi Əməkdaşlıq haqqında Saziş imzalanıb.

Ətraflı - https://t.co/Xhv4lQToyl

#İqtisadiyyat #EconomyAz https://t.co/Z2ivT50AV0",https://t.co/Xhv4lQToyl,"[{'text': 'Monqolustan', 'indices': [52, 64]}, {'text': 'İqtisadiyyat', 'indices': [176, 189]}, {'text': 'EconomyAz', 'indices': [190, 200]}]",[]
1451153915211362306,INazirliyi,2021-10-21 11:50:29+00:00,"İqtisadiyyat Nazirliyinin dəstəyi, Azərbaycanda İxracın və İnvestisiyaların Təşviqi Fondunun (#AZPROMO) təşkilatçılığı ilə Azərbaycan-Xorvatiya biznes forumu keçirilib.

Ətraflı - https://t.co/HFgjr3LtPt

#İqtisadiyyat #EconomyAz #biznesforum https://t.co/MU4QFbyJLD",https://t.co/HFgjr3LtPt,"[{'text': 'AZPROMO', 'indices': [94, 102]}, {'text': 'İqtisadiyyat', 'indices': [205, 218]}, {'text': 'EconomyAz', 'indices': [219, 229]}, {'text': 'biznesforum', 'indices': [230, 242]}]",[]
1450682981899816960,INazirliyi,2021-10-20 04:39:09+00:00,"Zəngilanın erməni işğalından azad edilməsindən 1 il ötür.

#Zangilan #Zəngilan #KarabakhisAzerbaijan #QarabağAzərbaycandır #MüzəffərAliBaşKomandan #RəşadətliAzərbaycanOrdusu #DəmirYumruq #VətənMüharibəsi https://t.co/jyIkZgsQMD",No url,"[{'text': 'Zangilan', 'indices': [59, 68]}, {'text': 'Zəngilan', 'indices': [69, 78]}, {'text': 'KarabakhisAzerbaijan', 'indices': [79, 100]}, {'text': 'QarabağAzərbaycandır', 'indices': [101, 122]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [123, 146]}, {'text': 'RəşadətliAzərbaycanOrdusu', 'indices': [147, 173]}, {'text': 'DəmirYumruq', 'indices': [174, 186]}, {'text': 'VətənMüharibəsi', 'indices': [187, 203]}]",[]
1449913662001537026,INazirliyi,2021-10-18 01:42:09+00:00,"Dövlətimizin qüdrəti dayanıqlı inkişafa, xalqımızın mənəvi birliyi və həmrəyliyi vətənə sevgi və sadiqliyə mükəmməl nümunədir. #Azərbaycansevər hər kəsi Müstəqilliyin Bərpası Günü münasibətilə təbrik edir, ölkəmizə sülh və tərəqqi arzulayırıq.

#MüstəqilliyinBərpasıGünü https://t.co/DDBhhHq0Dn",No url,"[{'text': 'Azərbaycansevər', 'indices': [127, 143]}, {'text': 'MüstəqilliyinBərpasıGünü', 'indices': [245, 270]}]",[]
1449674808065724421,INazirliyi,2021-10-17 09:53:02+00:00,"Füzulinin erməni işğalından azad edilməsindən 1 il ötür.

#Fuzuli #Füzuli #KarabakhisAzerbaijan #QarabağAzərbaycandır #MüzəffərAliBaşKomandan #RəşadətliAzərbaycanOrdusu #DəmirYumruq #VətənMüharibəsi https://t.co/uoq2VwfWOC",No url,"[{'text': 'Fuzuli', 'indices': [58, 65]}, {'text': 'Füzuli', 'indices': [66, 73]}, {'text': 'KarabakhisAzerbaijan', 'indices': [74, 95]}, {'text': 'QarabağAzərbaycandır', 'indices': [96, 117]}, {'text': 'MüzəffərAliBaşKomandan', 'indices': [118, 141]}, {'text': 'RəşadətliAzərbaycanOrdusu', 'indices': [142, 168]}, {'text': 'DəmirYumruq', 'indices': [169, 181]}, {'text': 'VətənMüharibəsi', 'indices': [182, 198]}]",[]
1449316384576577543,INazirliyi,2021-10-16 10:08:47+00:00,"İqtisadiyyat naziri Mikayıl Cabbarov (@JabbarovMikayil) Türkiyənin Müstəqil Sənayeçi və İş Adamları Dərnəyinin (#MÜSİAD) İdarə Heyətinin sədri Mahmut Asmalı (@asmalimahmut) ilə görüşüb.

Ətraflı - https://t.co/M5p0C96aAC

#QarabağAzərbaycandır #İqtisadiyyat #EconomyAz https://t.co/8sOMZ14xnU",https://t.co/M5p0C96aAC,"[{'text': 'MÜSİAD', 'indices': [112, 119]}, {'text': 'QarabağAzərbaycandır', 'indices': [222, 243]}, {'text': 'İqtisadiyyat', 'indices': [244, 257]}, {'text': 'EconomyAz', 'indices': [258, 268]}]",[]
1448926614838972422,INazirliyi,2021-10-15 08:19:59+00:00,"İqtisadiyyat naziri Mikayıl Cabbarov (@JabbarovMikayil) Türkiyənin Azərbaycandakı səfiri Cahit Bağcı (@TCBAKUBE) ilə görüşüb.

Ətraflı - https://t.co/zbLzFeu7r3

#TekMilletİkiDevlet #İqtisadiyyat #EconomyAz https://t.co/KJlrljcNGX",https://t.co/zbLzFeu7r3,"[{'text': 'TekMilletİkiDevlet', 'indices': [162, 181]}, {'text': 'İqtisadiyyat', 'indices': [182, 195]}, {'text': 'EconomyAz', 'indices': [196, 206]}]",[]
1447816505958219779,INazirliyi,2021-10-12 06:48:48+00:00,"#İqtisadiyyatNazirliyi-nin Birləşmiş Həmkarlar İttifaqı Komitəsinin təşkilatçılığı ilə Anım Gününə və şanlı Qələbəmizin ildönümünə həsr olunmuş “Zəfər kuboku” mini-futbol turniri davam edir.

Ətraflı – https://t.co/0dwzgECRer

#EconomyAz #ZəfərKuboku #Futbol https://t.co/MQUHZkN7Ew",https://t.co/0dwzgECRer,"[{'text': 'İqtisadiyyatNazirliyi', 'indices': [0, 22]}, {'text': 'EconomyAz', 'indices': [227, 237]}, {'text': 'ZəfərKuboku', 'indices': [238, 250]}, {'text': 'Futbol', 'indices': [251, 258]}]",[]
1447567019268792327,INazirliyi,2021-10-11 14:17:26+00:00,"Sahibkarlığın inkişafına dövlət dəstəyi sahəsində idarəetmənin təkmilləşdirilməsi haqqında Azərbaycan Respublikası Prezidentinin Fərmanı.

#PresidentAz #İqtisadiyyat #EconomyAz

https://t.co/JpAz2K4w2x",https://t.co/JpAz2K4w2x,"[{'text': 'PresidentAz', 'indices': [139, 151]}, {'text': 'İqtisadiyyat', 'indices': [152, 165]}, {'text': 'EconomyAz', 'indices': [166, 176]}]",[]
1445650684750155780,INazirliyi,2021-10-06 07:22:36+00:00,"“Rəqəmsallaşma: Enerji sektoru timsalında çağırışlar və imkanlar” mövzusunda onlayn formatda tədbir keçirilib.

Ətraflı - https://t.co/xDZaw8aDUh

#EconomyAz https://t.co/yIS9rFXi1g",https://t.co/xDZaw8aDUh,"[{'text': 'EconomyAz', 'indices': [147, 157]}]",[]
1445298022808707072,INazirliyi,2021-10-05 08:01:15+00:00,"Prezident İlham Əliyev (@PresidentIlhamAliyev) #ŞərqiZəngəzur iqtisadi rayonunda yaradılacaq “Araz Vadisi İqtisadi Zonası"" #SənayeParkı-nın təməlini qoyub. 

#PresidentAz  #ArazVadisi #İqtisadiyyat #EconomyAz

https://t.co/VI4sGJzln4",https://t.co/VI4sGJzln4,"[{'text': 'ŞərqiZəngəzur', 'indices': [47, 61]}, {'text': 'SənayeParkı', 'indices': [123, 135]}, {'text': 'PresidentAz', 'indices': [158, 170]}, {'text': 'ArazVadisi', 'indices': [172, 183]}, {'text': 'İqtisadiyyat', 'indices': [184, 197]}, {'text': 'EconomyAz', 'indices': [198, 208]}]",[]
1445297600580702210,INazirliyi,2021-10-05 07:59:34+00:00,"Prezident İlham Əliyev (@PresidentIlhamAliyev) Cəbrayıl rayonunda səfəri zamanı “KamAZ"" ASC ilə “#GəncəAvtomobilZavodu” İstehsalat Birliyinin birgə servis mərkəzinin #təməlqoyma mərasimində iştirak edib. 

#PresidentAz  #İqtisadiyyat #KamAZ #EconomyAz

https://t.co/nUG7BnEtTE",https://t.co/nUG7BnEtTE,"[{'text': 'GəncəAvtomobilZavodu', 'indices': [97, 118]}, {'text': 'təməlqoyma', 'indices': [166, 177]}, {'text': 'PresidentAz', 'indices': [206, 218]}, {'text': 'İqtisadiyyat', 'indices': [220, 233]}, {'text': 'KamAZ', 'indices': [234, 240]}, {'text': 'EconomyAz', 'indices': [241, 251]}]",[]
1444981085570576387,INazirliyi,2021-10-04 11:01:51+00:00,"“Araz Vadisi İqtisadi Zonası” Sənaye Parkının yaradılması haqqında Azərbaycan Respublikası Prezidentinin Fərmanı.

#PresidentAz  #ArazVadisi  #İqtisadiyyat #EconomyAz

https://t.co/yWeAcQDTSf",https://t.co/yWeAcQDTSf,"[{'text': 'PresidentAz', 'indices': [115, 127]}, {'text': 'ArazVadisi', 'indices': [129, 140]}, {'text': 'İqtisadiyyat', 'indices': [142, 155]}, {'text': 'EconomyAz', 'indices': [156, 166]}]",[]
