Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1614913962918699010,minenergyaze,2023-01-16 09:14:27+00:00,"Ötən il respublikada elektrik enerjisi istehsalı 4 faiz artıb
Ətraflı: https://t.co/ytiHDM3LWS
#elektrikenerjisi #hesabat #xəbərlər
#EnergetikaNazirliyi #MinistryofEnergy https://t.co/mYUjC8poYX",https://t.co/ytiHDM3LWS,"[{'text': 'elektrikenerjisi', 'indices': [95, 112]}, {'text': 'hesabat', 'indices': [113, 121]}, {'text': 'xəbərlər', 'indices': [122, 131]}, {'text': 'EnergetikaNazirliyi', 'indices': [132, 152]}, {'text': 'MinistryofEnergy', 'indices': [153, 170]}]",[]
1614886404013654016,minenergyaze,2023-01-16 07:24:56+00:00,"RT @ADSWagenda: HE Ilham Aliyev, President of Azerbaijan @presidentaz, delivers a keynote speech during the opening ceremony of #ADSW2023…",No url,"[{'text': 'ADSW2023', 'indices': [128, 137]}]",[]
1614872890750701568,minenergyaze,2023-01-16 06:31:14+00:00,"RT @ParvizShahbazov: 2022-ci ildə operativ məlumatlara əsasən, elektrik enerjisinin istehsalı 4% artaraq 28 988,5 mln. kVt•st, #ixrac 3 003…",No url,"[{'text': 'ixrac', 'indices': [127, 133]}]",[]
1614872875575709696,minenergyaze,2023-01-16 06:31:11+00:00,"RT @ParvizShahbazov: Yanvar-dekabr aylarında İES-lər üzrə 27043,3 mln. kVt•st, su da daxil olmaqla bərpa olunan mənbələrdən 1945,2 mln kVt•…",No url,[],[]
1614173941798686721,minenergyaze,2023-01-14 08:13:52+00:00,RT @azpresident: https://t.co/munkov4gIZ,No url,[],[]
1614173927516823553,minenergyaze,2023-01-14 08:13:48+00:00,RT @azpresident: https://t.co/9R67Ej9h1t,No url,[],[]
1614166732897411072,minenergyaze,2023-01-14 07:45:13+00:00,"... kəşf edilib istismara verilməsi Xoşbəxt Yusifzadənin bilavasitə iştirakı və rəhbərliyi ilə həyata keçirilib. 
Bu əlamətdar gün münasibətilə Xoşbəxt müəllimi təbrik edir, ona uzun ömür, möhkəm can sağlığı arzulayırıq.
#neft #neftçi #XoşbəxtYusifzadə",No url,"[{'text': 'neft', 'indices': [221, 226]}, {'text': 'neftçi', 'indices': [227, 234]}, {'text': 'XoşbəxtYusifzadə', 'indices': [235, 252]}]",[]
1614166558049435648,minenergyaze,2023-01-14 07:44:31+00:00,"#Şəxsiyyətlər
Bu gün tanınmış neftçi-alim və geoloq, akademik, Azərbaycan Dövlət Neft Şirkətinin birinci vitse-prezidenti Xoşbəxt Yusifzadənin 93 yaşı tamam olur.
Xəzər dənizində genişmiqyaslı axtarış-kəşfiyyat işlərinin uğurla aparılması, 20-dən artıq karbohidrogen yatağının... https://t.co/nJVz8S5a3f",No url,"[{'text': 'Şəxsiyyətlər', 'indices': [0, 13]}]",[]
1613889442648924161,minenergyaze,2023-01-13 13:23:22+00:00,RT @azpresident: https://t.co/ghQFjb7YxM,No url,[],[]
1613873354032775169,minenergyaze,2023-01-13 12:19:26+00:00,"Energetika nazirinin müavini “Cənubun Səsi Sammiti 2023” adlı tədbirdə çıxış edib
Ətraflı: https://t.co/LAJyNJrEJO
#EnergetikaNazirliyi #MinistryofEnergy #xəbərlər https://t.co/YkIoSghSOq",https://t.co/LAJyNJrEJO,"[{'text': 'EnergetikaNazirliyi', 'indices': [115, 135]}, {'text': 'MinistryofEnergy', 'indices': [136, 153]}, {'text': 'xəbərlər', 'indices': [154, 163]}]",[]
1613860526383140865,minenergyaze,2023-01-13 11:28:28+00:00,"2022-ci ildə 46,7 milyard kubmetr təbii qaz, 32,6 milyon ton neft hasil edilib
Ətraflı: https://t.co/3Vku3bOvOy
#nefthasilatı #NeftQaz #qazhasilatı
#EnergetikaNazirliyi #MinistryofEnergy #xəbərlər #hesabat https://t.co/nKuqncobyn",https://t.co/3Vku3bOvOy,"[{'text': 'nefthasilatı', 'indices': [112, 125]}, {'text': 'NeftQaz', 'indices': [126, 134]}, {'text': 'qazhasilatı', 'indices': [135, 147]}, {'text': 'EnergetikaNazirliyi', 'indices': [148, 168]}, {'text': 'MinistryofEnergy', 'indices': [169, 186]}, {'text': 'xəbərlər', 'indices': [187, 196]}, {'text': 'hesabat', 'indices': [197, 205]}]",[]
1613860288616632320,minenergyaze,2023-01-13 11:27:31+00:00,"RT @ParvizShahbazov: During December-January, #GasExport grew by 18%. 11.4 bcm of gas was exported to #Europe, 8.4 bcm to #Türkiye and 2.5…",No url,"[{'text': 'GasExport', 'indices': [46, 56]}, {'text': 'Europe', 'indices': [102, 109]}, {'text': 'Türkiye', 'indices': [122, 130]}]",[]
1613860273567240196,minenergyaze,2023-01-13 11:27:27+00:00,"RT @ParvizShahbazov: According to operational data for 2022, 26.3 out of 32.6 million tons of extracted oil was #exported. During this peri…",No url,"[{'text': 'exported', 'indices': [112, 121]}]",[]
1613819620942544896,minenergyaze,2023-01-13 08:45:55+00:00,"RT @ParvizShahbazov: 2022-ci ildə operativ məlumatlara görə, hasil edilmiş 32,6 mln. ton neftin 26,3 mln. tonu #İxracaNəql edilib. Bu dövrd…",No url,"[{'text': 'İxracaNəql', 'indices': [111, 122]}]",[]
1613807462817173504,minenergyaze,2023-01-13 07:57:36+00:00,"RT @ParvizShahbazov: Yanvar-dekabr aylarında #Qazİxracı 18% artıb. #Avropaya 11,4 mlrd.m3,  #Türkiyəyə 8,4 mlrd.m3, #Gürcüstana isə 2,5 mlr…",No url,"[{'text': 'Qazİxracı', 'indices': [45, 55]}, {'text': 'Avropaya', 'indices': [67, 76]}, {'text': 'Türkiyəyə', 'indices': [92, 102]}, {'text': 'Gürcüstana', 'indices': [116, 127]}]",[]
1613460087867310080,minenergyaze,2023-01-12 08:57:16+00:00,"#bərpaolunanenerji mənbələrindən istifadə sahəsində layihələrin həyata keçirilməsi üzrə Komissiyanın iclası keçirilib
Ətraflı: https://t.co/kc2xDx48FZ
#EnergetikaNazirliyi #MinistryofEnergy
#xəbərlər https://t.co/CLbI2xSMUn",https://t.co/kc2xDx48FZ,"[{'text': 'bərpaolunanenerji', 'indices': [0, 18]}, {'text': 'EnergetikaNazirliyi', 'indices': [151, 171]}, {'text': 'MinistryofEnergy', 'indices': [172, 189]}, {'text': 'xəbərlər', 'indices': [190, 199]}]",[]
1613416383986933762,minenergyaze,2023-01-12 06:03:36+00:00,"Energetika nazirinin müavini Elnur Soltanov #realintervyunun qonağı olub. Verilişdə Azərbaycanın etibarlı enerji tərəfdaşı kimi rolundan bəhs edilib.
https://t.co/fQED2BB5nM",https://t.co/fQED2BB5nM,"[{'text': 'realintervyunun', 'indices': [44, 60]}]",[]
1613415910664208388,minenergyaze,2023-01-12 06:01:43+00:00,RT @presidentaz: Azerbaijan's gas sector will supply its resources to international markets for at least another 100 years. https://t.co/1P…,No url,[],[]
1613403444320112641,minenergyaze,2023-01-12 05:12:11+00:00,RT @azpresident: Azərbaycanın qaz sahəsi azı 100 il beynəlxalq bazarlara öz ehtiyatlarını tədarük edəcək. https://t.co/jHKNVGZYeY,No url,[],[]
1613132005796888578,minenergyaze,2023-01-11 11:13:35+00:00,"Ötən il Energetika Nazirliyi tərəfindən 155 icazə verilib
Ətraflı: https://t.co/E8kbKiNetP
#icazələr #hesabat #xəbərlər
#EnergetikaNazirliyi #MinistryofEnergy https://t.co/TzpT8TVVI7",https://t.co/E8kbKiNetP,"[{'text': 'icazələr', 'indices': [91, 100]}, {'text': 'hesabat', 'indices': [101, 109]}, {'text': 'xəbərlər', 'indices': [110, 119]}, {'text': 'EnergetikaNazirliyi', 'indices': [120, 140]}, {'text': 'MinistryofEnergy', 'indices': [141, 158]}]",[]
1612408049041395712,minenergyaze,2023-01-09 11:16:50+00:00,"2022-ci ildə Energetika Nazirliyinin Çağrı Mərkəzinə 4248 müraciət daxil olub
Ətraflı: https://t.co/fthU2p2FBy
#ÇağrıMərkəzi #hesabat #xəbərlər
#EnergetikaNazirliyi #MinistryofEnergy https://t.co/tg5qEZk3TE",https://t.co/fthU2p2FBy,"[{'text': 'ÇağrıMərkəzi', 'indices': [111, 124]}, {'text': 'hesabat', 'indices': [125, 133]}, {'text': 'xəbərlər', 'indices': [134, 143]}, {'text': 'EnergetikaNazirliyi', 'indices': [144, 164]}, {'text': 'MinistryofEnergy', 'indices': [165, 182]}]",[]
1612331512015294464,minenergyaze,2023-01-09 06:12:42+00:00,"1825-ci ildə Xəzər dənizində güclü tufan nəticəsində quyular dağılıb.
1846-cı ildə isə dünyada sənaye üsulu ilə ilk neft quyusu Bibiheybətdə 21 metr dərinliyində qazılıb və qazma işi müsbət nəticə verib.
 #İlklər #NEFT #nefthasilatı",No url,"[{'text': 'İlklər', 'indices': [205, 212]}, {'text': 'NEFT', 'indices': [213, 218]}, {'text': 'nefthasilatı', 'indices': [219, 232]}]",[]
1612331452976500736,minenergyaze,2023-01-09 06:12:28+00:00,"#bilirdinizmi 
Dünyada ilk dəfə dənizdə neft hasilatı 1803-cü ildə bakılı Hacı Qasımbəy Mənsurbəyov tərəfindən həyata keçirilib. Dənizdə ilk neft Bibiheybət buxtasında sahildən 18 və 30 metr aralıda yerləşən iki quyudan çıxarılıb. Lakin ilk dəniz mədəninin ömrü çox qısa olub. https://t.co/eeeaL1PNVw",No url,"[{'text': 'bilirdinizmi', 'indices': [0, 13]}]",[]
1609544649710120960,minenergyaze,2023-01-01 13:38:43+00:00,"RT @azpresident: Mən artıq bir neçə dəfə demişdim ki, Qarabağ və Şərqi Zəngəzur yaşıl enerji zonası olmalıdır. Artıq biz buna nail oluruq v…",No url,[],[]
1609194277166252032,minenergyaze,2022-12-31 14:26:27+00:00,"RT @ParvizShahbazov: Azərbaycanın #TAP vasitəsilə Avropaya qaz ixracına başlamasından iki il ötür. Bu müddətdə Avropaya 19,4 mlrd.3-dən çox…",No url,"[{'text': 'TAP', 'indices': [34, 38]}]",[]
1609089611577319424,minenergyaze,2022-12-31 07:30:33+00:00,"RT @ParvizShahbazov: 2022-ci il 470 MVt-lıq külək/günəş ES-nın təməlinin qoyulması, 22 QVt-dək gücə malik #YaşılEnerji layihələrinə, Azərba…",No url,"[{'text': 'YaşılEnerji', 'indices': [106, 118]}]",[]
1609059781452365825,minenergyaze,2022-12-31 05:32:01+00:00,"Dünya Azərbaycanlılarının Həmrəyliyi Günü və Yeni İl münasibətilə hər birinizi təbrik edirik!
#Həmrəylik #yeniil https://t.co/70Gr3flUw3",No url,"[{'text': 'Həmrəylik', 'indices': [94, 104]}, {'text': 'yeniil', 'indices': [105, 112]}]",[]
1609058004095082496,minenergyaze,2022-12-31 05:24:57+00:00,RT @ParvizShahbazov: 31 Dekabr - Dünya Azərbaycanlılarının Həmrəyliyi Günü və Yeni il münasibətilə hər birinizi təbrik edirik. Yeni iliniz…,No url,[],[]
1608917038109712384,minenergyaze,2022-12-30 20:04:48+00:00,RT @azpresident: https://t.co/DdHuEoLwCo,No url,[],[]
1608414518438395906,minenergyaze,2022-12-29 10:47:58+00:00,"Energetika naziri Şamaxıda vətəndaşları qəbul edəcək
Ətraflı: https://t.co/log02BjMsd
#EnergetikaNazirliyi #MinistryofEnergy
#Şamaxı #Qobustan #VətəndaşQəbulu #xəbərlər https://t.co/QUxNzcs3Qf",https://t.co/log02BjMsd,"[{'text': 'EnergetikaNazirliyi', 'indices': [86, 106]}, {'text': 'MinistryofEnergy', 'indices': [107, 124]}, {'text': 'Şamaxı', 'indices': [125, 132]}, {'text': 'Qobustan', 'indices': [133, 142]}, {'text': 'VətəndaşQəbulu', 'indices': [143, 158]}, {'text': 'xəbərlər', 'indices': [159, 168]}]",[]
1607294298986532866,minenergyaze,2022-12-26 08:36:37+00:00,"Bakı Mühəndislik Universitetinin tələbələri ilə onlayn görüş keçirilib
Ətraflı: https://t.co/fUhgFoG36d
#EnergetikaNazirliyi #MinistryofEnergy
#xəbərlər https://t.co/Vz1yd8p7AN",https://t.co/fUhgFoG36d,"[{'text': 'EnergetikaNazirliyi', 'indices': [104, 124]}, {'text': 'MinistryofEnergy', 'indices': [125, 142]}, {'text': 'xəbərlər', 'indices': [143, 152]}]",[]
1607289609595002880,minenergyaze,2022-12-26 08:17:59+00:00,"Əmək və Əhalinin Sosial Müdafiəsi Nazirliyini (@sosial_gov_az) yaranmasının 104 ili münasibətilə təbrik edirik.
#ƏƏSMN https://t.co/sbtUrdxBow",No url,"[{'text': 'ƏƏSMN', 'indices': [112, 118]}]",[]
