Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1454463147729952768,natiqnatiqoglu,2021-10-30 15:00:11+00:00,#HTYvBJK https://t.co/oTURe4Pkb2,No url,"[{'text': 'HTYvBJK', 'indices': [0, 8]}]",[]
1452712508779896838,natiqnatiqoglu,2021-10-25 19:03:46+00:00,#BJK #BoğazınKartalı #BJKvGS https://t.co/9HTAwnz0Hz,No url,"[{'text': 'BJK', 'indices': [0, 4]}, {'text': 'BoğazınKartalı', 'indices': [5, 20]}, {'text': 'BJKvGS', 'indices': [21, 28]}]",[]
1448734214732537856,natiqnatiqoglu,2021-10-14 19:35:27+00:00,"""Mən uşaq olanda da gürcülər meydanda idi, indi oğlum uşaqdı yenə gürcülər meydandadır.""
#Saakashvili https://t.co/hrIGUHw3Fx",No url,"[{'text': 'Saakashvili', 'indices': [89, 101]}]",[]
1445753893317595147,natiqnatiqoglu,2021-10-06 14:12:43+00:00,"28 May dövlətin var olduğu gün, Respublika günüdür.Vacib olan kağızlarda nə yazıldığı deyil,nəyin doğru olduğudur.30 il iş günü olması 18 oktyabra kölgə edə bilmədiyi kimi sadəcə 23 aylıq bir dönəm kimi qələmə verilməyə çalışılan 28 May da daim var olacaq.
#28MayRespublikagünüdür",No url,"[{'text': '28MayRespublikagünüdür', 'indices': [257, 280]}]",[]
1444361508159475722,natiqnatiqoglu,2021-10-02 17:59:53+00:00,"#BoğazınKartalı
#BJKvSIV https://t.co/aO8NLy6tBR",No url,"[{'text': 'BoğazınKartalı', 'indices': [0, 15]}, {'text': 'BJKvSIV', 'indices': [16, 24]}]",[]
1443856600310104064,natiqnatiqoglu,2021-10-01 08:33:33+00:00,İran Səfirliyinin qarşısına aftafa qoyulması sivil addımdır. Fikir və ifadə azadlığıdır. Hətta bu tip sivil və bir fikri təmsil edən tənqid və etiraz üsulları tənqid mədəniyyətinin və etiraz vərdişlərinin formalaşması üçün vacibdir.,No url,[],[]
1422783786488565763,natiqnatiqoglu,2021-08-04 04:57:43+00:00,Bizə vurulan ən böyük ziyan doğru və etibarlı məlumatı əldə etməyin mümkünsüz hala gətirilməsi oldu. Biz də bu məlumat çirkliliyinin yaratdığı zil qaranlıqda bir-birilə dalaşan isanlar halına gəldik.,No url,[],[]
1406843118176120832,natiqnatiqoglu,2021-06-21 05:15:11+00:00,"""Kime sordumsa seni doğru cevap vermediler;
Kimi alçak, kimi hırsız, kimi deyyus! dediler…
Künyeni almak için, partiye ettim telefon:
Bizdeki kayda göre, şimdi o mebus dediler!..""
                              Neyzen Tevfik",No url,[],[]
1398159040388206592,natiqnatiqoglu,2021-05-28 06:07:46+00:00,"Hər şeyi nəzərə alsaq Respublika möcüzə idi. O özəl insanlar inancı zəfərə dönüşdürdülər, o duyğunu, tükənməyən ümidi, həyəcanı bizlərə bəxş etdilər. Onlar fırtına quşu idi. Ən sərt fırtınada fırtınaya qarşı uçdular. Həm də qarşılıqsız və heç durmadan. #28May",No url,"[{'text': '28May', 'indices': [253, 259]}]",[]
1395285500429221898,natiqnatiqoglu,2021-05-20 07:49:21+00:00,İdarəçilər və yaxınları qazandıqları uğuru qeyd edirdi!!! https://t.co/Cimu7eznZ3,No url,[],[]
