Id,Screen_name,Created_at,Text,Url,Hastags,Symbols
1541748034157137921,sosial_gov_az,2022-06-28 11:39:10+00:00,"Dövlət Sosial Müdafiə Fondunun Xüsusi Şərtlərlə Təyinat üzrə Mərkəzi Filialının kargüzarı Fuad Hacıyev “Xəcavəndin azad olunmasına görə”, “Füzulinin azad olunmasına görə”, “Cəbrayılın azad olunmasına görə” medalları ilə təltif olunub. 🎖🎖🎖

#ƏƏSMN #qaziəməkdaşlarımız https://t.co/kxsM4lcLAu",No url,"[{'text': 'ƏƏSMN', 'indices': [240, 246]}, {'text': 'qaziəməkdaşlarımız', 'indices': [247, 266]}]",[]
1541681422309769217,sosial_gov_az,2022-06-28 07:14:28+00:00,"📢 Əmək və əhalinin sosial müdafiəsi nazirinin müavini Vüsal Nəsirli iyulun 7-də 📍 Goranboy rayonunda həmin rayonun və Naftalan şəhərinin sakinlərini qəbul edəcək.  

Ətraflı: 👉https://t.co/92UcqURjNb

#ƏƏSMN #sosialmüdafiə https://t.co/g6mOg1826j",https://t.co/92UcqURjNb,"[{'text': 'ƏƏSMN', 'indices': [201, 207]}, {'text': 'sosialmüdafiə', 'indices': [208, 222]}]",[]
1541665858199732225,sosial_gov_az,2022-06-28 06:12:38+00:00,"#Əmək və Əhalinin #Sosial Müdafiəsi Nazirliyi tərəfindən ötən ilin iyun ayında başladılan “Məşğulluq marafonu”na ötən dövrdə 649 #işəgötürən qoşulub.

Ətraflı:👉 https://t.co/lOGNNajdU8

#ƏƏSMN #işlətəminat #MəşğulluqMarafonu https://t.co/ez7kUVcRw8",https://t.co/lOGNNajdU8,"[{'text': 'Əmək', 'indices': [0, 5]}, {'text': 'Sosial', 'indices': [18, 25]}, {'text': 'işəgötürən', 'indices': [129, 140]}, {'text': 'ƏƏSMN', 'indices': [186, 192]}, {'text': 'işlətəminat', 'indices': [193, 205]}, {'text': 'MəşğulluqMarafonu', 'indices': [206, 224]}]",[]
1541113318508826625,sosial_gov_az,2022-06-26 17:37:02+00:00,"İyunun 26-da Azərbaycan Respublikasının Prezidenti İlham Əliyev Göygöl, Kəlbəcər və Laçın rayonlarına səfər edib.

https://t.co/qf7nDMR3j8 https://t.co/fDtoJd9dCK",https://t.co/qf7nDMR3j8,[],[]
1540998535306526720,sosial_gov_az,2022-06-26 10:00:55+00:00,"“DOST” mərkəzləri şəbəkəsinin ölkəmizin regionları üzrə genişləndirilməsi işləri çərçivəsində 2022-2023-cü illərdə Bərdə və Quba rayonlarında da “DOST” mərkəzləri açılacaq. 

Ətraflı:👉 https://t.co/0YNta77j3w https://t.co/UUITwEwZdV",https://t.co/0YNta77j3w,[],[]
1540970222466875392,sosial_gov_az,2022-06-26 08:08:25+00:00,#Həftəninİcmalı https://t.co/byK8pKwABP,No url,"[{'text': 'Həftəninİcmalı', 'indices': [0, 15]}]",[]
1540774092436975616,sosial_gov_az,2022-06-25 19:09:04+00:00,"26 iyun - Azərbaycan Respublikasının Silahlı Qüvvələri günüdür.🇦🇿

#26iyun #SilahlıQüvvələrGünü #AzərbaycanƏsgəri #ordumuzqürurumuzdur https://t.co/vUhrHaPnAT",No url,"[{'text': '26iyun', 'indices': [67, 74]}, {'text': 'SilahlıQüvvələrGünü', 'indices': [75, 95]}, {'text': 'AzərbaycanƏsgəri', 'indices': [96, 113]}, {'text': 'ordumuzqürurumuzdur', 'indices': [114, 134]}]",[]
1540581569743785984,sosial_gov_az,2022-06-25 06:24:03+00:00,#25iyun #beynəlxalqdənizçilərgünü https://t.co/VBiitvb0PP,No url,"[{'text': '25iyun', 'indices': [0, 7]}, {'text': 'beynəlxalqdənizçilərgünü', 'indices': [8, 33]}]",[]
1540390866703077382,sosial_gov_az,2022-06-24 17:46:16+00:00,"#Əmək və Əhalinin #Sosial Müdafiəsi Nazirliyinin tabeliyindəki Dövlət Sosial Müdafiə Fondu tərəfindən iyun ayının bütün #müavinət, #təqaüd və ünvanlı dövlət sosial yardımları bu gün ödənildi.

Ətraflı:👉 https://t.co/8TSq2eRhSS

#ƏƏSMN #DSMF #sosialödənişlər https://t.co/NW6dL8DTx0",https://t.co/8TSq2eRhSS,"[{'text': 'Əmək', 'indices': [0, 5]}, {'text': 'Sosial', 'indices': [18, 25]}, {'text': 'müavinət', 'indices': [120, 129]}, {'text': 'təqaüd', 'indices': [131, 138]}, {'text': 'ƏƏSMN', 'indices': [228, 234]}, {'text': 'DSMF', 'indices': [235, 240]}, {'text': 'sosialödənişlər', 'indices': [241, 257]}]",[]
1540334398024851462,sosial_gov_az,2022-06-24 14:01:53+00:00,"İşğaldan azad edilmiş ərazilərimizdə #DOST xidmətləri şəbəkəsinin qurulmasına dair “Qarabağ və Şərqi Zəngəzur” DOST proqramı Şuşa şəhərində təqdim olunub.

Ətraflı: 👉 https://t.co/G6jXWcMmlu

#ƏƏSMN #DOST #DOSTxidmətləri https://t.co/HPo9pQjd92",https://t.co/G6jXWcMmlu,"[{'text': 'DOST', 'indices': [37, 42]}, {'text': 'ƏƏSMN', 'indices': [192, 198]}, {'text': 'DOST', 'indices': [199, 204]}, {'text': 'DOSTxidmətləri', 'indices': [205, 220]}]",[]
